ID	Name	Copies per Million (CPM)	Relative Abundance
PWY0-1586	peptidoglycan maturation (meso-diaminopimelate containing)	15414.7	1.5414699428114638
PWY-7238	sucrose biosynthesis II	11428.3	1.1428299576010075
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	11092.2	1.1092199588479386
PWY-5941	glycogen degradation II	10022.7	1.0022699628157836
PWY-7111	pyruvate fermentation to isobutanol (engineered)	9984.48	0.9984479629575796
VALSYN-PWY	L-valine biosynthesis	9754.03	0.9754029638125492
PWY-8178	pentose phosphate pathway (non-oxidative branch) II	8378.13	0.837812968917138
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	8297.2	0.8297199692173884
SALVADEHYPOX-PWY	adenosine nucleotides degradation II	8287.28	0.8287279692541916
PWY-5695	inosine 5'-phosphate degradation	8049.18	0.8049179701375426
PWY-6608	guanosine nucleotides degradation III	8049.18	0.8049179701375426
PWY0-1477	ethanolamine utilization	7828.08	0.7828079709578236
PWY-5103	L-isoleucine biosynthesis III	7317.67	0.7317669728514447
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched chain amino acid biosynthesis	7276.58	0.7276579730038886
CALVIN-PWY	Calvin-Benson-Bassham cycle	7174.38	0.7174379733830506
P461-PWY	hexitol fermentation to lactate, formate, ethanol and acetate	7123.17	0.7123169735730396
PWY-7977	L-methionine biosynthesis IV	7083.98	0.7083979737184345
PENTOSE-P-PWY	pentose phosphate pathway	6910.41	0.6910409743623792
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	6616.49	0.6616489754528224
PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis	6616.49	0.6616489754528224
PWY-5913	partial TCA cycle (obligate autotrophs)	6601.94	0.6601939755068029
METSYN-PWY	superpathway of L-homoserine and L-methionine biosynthesis	6587.9	0.6587899755588913
MET-SAM-PWY	superpathway of S-adenosyl-L-methionine biosynthesis	6481.84	0.648183975952374
PWY-5347	superpathway of L-methionine biosynthesis (transsulfuration)	6326.57	0.6326569765284256
UDPNAGSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis I	6103.12	0.6103119773574252
PWY66-429	fatty acid biosynthesis initiation (mitochondria)	6056.25	0.6056249775313127
PWY-1042	glycolysis IV	6036.4	0.6036399776049562
PWY-6936	seleno-amino acid biosynthesis (plants)	6025.26	0.6025259776462857
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	5998.4	0.5998399777459362
PWY-6353	purine nucleotides degradation II (aerobic)	5971.9	0.5971899778442513
HOMOSER-METSYN-PWY	L-methionine biosynthesis I	5959.77	0.5959769778892536
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	5912.12	0.5912119780660351
PWY-5136	fatty acid β-oxidation II (plant peroxisome)	5901.95	0.5901949781037658
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	5894.84	0.589483978130144
PWY-5154	L-arginine biosynthesis III (via N-acetyl-L-citrulline)	5872.45	0.5872449782132108
PWY-7400	L-arginine biosynthesis IV (archaebacteria)	5843.89	0.5843889783191684
PWY-3001	superpathway of L-isoleucine biosynthesis I	5828.26	0.5828259783771557
PWY-6305	superpathway of putrescine biosynthesis	5823.7	0.5823699783940732
GALACTARDEG-PWY	D-galactarate degradation I	5819.05	0.5819049784113248
GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation	5819.05	0.5819049784113248
