Enzyme ID	Name	Copies per Million (CPM)	Relative Abundance
2.7.1.69	2.7.1.208	34849.8	3.484979995420736
3.6.4.12	DNA helicase	18296.7	1.8296699975958133
2.7.13.3	Histidine kinase	16697.9	1.6697899978058959
2.7.7.7	DNA-directed DNA polymerase	11456.7	1.1456699984945897
5.2.1.8	Peptidylprolyl isomerase	7956.86	0.7956859989544685
3.2.1.86	6-phospho-beta-glucosidase	7597.96	0.759795999001628
5.99.1.3	Transferred entry 5.6.2.2	6862.11	0.6862109990983186
2.7.2.2	Carbamate kinase	6807.04	0.6807039991055548
4.3.1.17	L-serine ammonia-lyase	6563.56	0.6563559991375482
2.7.7.6	DNA-directed RNA polymerase	6134.96	0.6134959991938662
1.8.1.4	Dihydrolipoyl dehydrogenase	5556.36	0.5556359992698943
3.2.1.23	Beta-galactosidase	5513.42	0.5513419992755365
1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase	5492.63	0.5492629992782684
1.6.5.5	NADPH:quinone reductase	5340.99	0.5340989992981938
6.1.1.20	Phenylalanine--tRNA ligase	5316.31	0.5316309993014369
2.7.1.144	Tagatose-6-phosphate kinase	5309.5	0.5309499993023316
3.1.1.1	Carboxylesterase	4926.93	0.4926929993526014
4.1.3.6	Citrate (pro-3S)-lyase	4718.68	0.47186799937996543
2.3.2.3	Lysyltransferase	4649.03	0.4649029993891174
6.3.5.3	Phosphoribosylformylglycinamidine synthase	4480.51	0.448050999411261
5.3.1.17	5-dehydro-4-deoxy-D-glucuronate isomerase	4414.36	0.44143599941995304
6.1.1.11	Serine--tRNA ligase	4273.17	0.4273169994385055
3.4.21.89	Signal peptidase I	4177.49	0.4177489994510777
3.6.4.13	RNA helicase	4164.69	0.41646899945275967
3.5.99.6	Glucosamine-6-phosphate deaminase	4070.08	0.40700799946519145
2.4.2.1	Purine-nucleoside phosphorylase	4062.67	0.4062669994661651
2.8.1.7	Cysteine desulfurase	4035.64	0.4035639994697168
3.6.3.8	Transferred entry 7.2.2.10	4019.82	0.40198199947179564
1.3.1.9	Enoyl-[acyl-carrier-protein] reductase (NADH)	3990.76	0.3990759994756141
1.1.1.1	Alcohol dehydrogenase	3899.01	0.3899009994876701
6.1.1.14	Glycine--tRNA ligase	3840.58	0.38405799949534775
3.1.22.4	Crossover junction endodeoxyribonuclease	3803.95	0.38039499950016087
2.3.1.157	Glucosamine-1-phosphate N-acetyltransferase	3757.91	0.3757909995062106
2.7.7.23	UDP-N-acetylglucosamine diphosphorylase	3757.91	0.3757909995062106
1.3.1.98	UDP-N-acetylmuramate dehydrogenase	3751.82	0.3751819995070108
5.4.99.12	tRNA pseudouridine(38-40) synthase	3635.63	0.36356299952227816
2.1.3.15	Acetyl-CoA carboxytransferase	3498.83	0.3498829995402537
2.3.1.179	Beta-ketoacyl-[acyl-carrier-protein] synthase II	3446.92	0.3446919995470747
3.5.4.1	Cytosine deaminase	3443.28	0.344327999547553
2.7.7.39	Glycerol-3-phosphate cytidylyltransferase	3410.48	0.3410479995518629
5.1.1.7	Diaminopimelate epimerase	3386.64	0.33866399955499543
2.3.1.79	Maltose O-acetyltransferase	3377.41	0.3377409995562083
4.2.1.59	3-hydroxyacyl-[acyl-carrier-protein] dehydratase	3376.32	0.33763199955635154
3.5.3.6	Arginine deiminase	3366.66	0.33666599955762083
5.4.2.6	Beta-phosphoglucomutase	3286.07	0.3286069995682104
1.11.1.15	Peroxiredoxin	3279.15	0.3279149995691196
1.17.4.1	Ribonucleoside-diphosphate reductase	3184.8	0.3184799995815173
4.2.1.126	N-acetylmuramic acid 6-phosphate etherase	3177.46	0.31774599958248173
3.5.99.4	Transferred entry 3.5.4.42	3161.83	0.3161829995845355
4.2.99.18	DNA-(apurinic or apyrimidinic site) lyase	3139.78	0.3139779995874329
2.8.1.1	Thiosulfate sulfurtransferase	3112.09	0.31120899959107134
4.1.2.40	Tagatose-bisphosphate aldolase	3106.05	0.310604999591865
