Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Enterococcus faecium GI 21886745		-	12262803.88	14.029	1	1	69068
Enterococcus faecium GI 807609		-	11928956.23	13.647	1	1	70310
Enterococcus faecium GI 21886746		-	4041579.26	4.6240000000000006	1	1	110420
Enterococcus faecium GENE aadE		-	3309399.06	3.7859999999999996	1	1	496472
Enterococcus faecium GENE ermB		-	3197224.31	3.6580000000000004	1	1	478392
Staphylococcus aureus GI 33390945		-	3097413.62	3.543	1	1	100588
Enterococcus faecium GI 21886751		-	3077215.2	3.52	1	1	483543
Enterococcus faecium GENE sat4		-	2778371.92	3.1780000000000004	1	1	210162
Enterococcus faecium GI 21886752		-	2729766.93	3.123	0.966967	0.966967	393906
Enterococcus faecium GI 21886750		-	2689945.35	3.077	0.896194	0.896194	341217
Enterococcus faecalis GeneID EF0149		-	2328844.38	2.664	1	1	668344
Enterococcus faecium GI 21886747		-	2119721.22	2.4250000000000003	0.814815	0.814815	31769
Enterococcus hirae GENE ermB		-	2079319.96	2.379	1	1	4435
Enterobacter GENE cylM		-	1914331.19	2.19	0.766161	0.763645	907191
Enterobacter GENE cCF10		-	1809189.96	2.07	0.870183	0.870183	386641
Enterobacter GENE cad		-	1641503.79	1.8780000000000001	0.819936	0.819936	437758
Enterococcus faecalis GENE cylR2		-	1609108.77	1.841	0.756757	0.756757	61509
Enterobacter GENE hylA		-	1608391.47	1.8399999999999999	0.743137	0.835496	887310
Enterobacter GENE cylA		-	1607898.59	1.839	0.724712	0.724712	529912
Enterobacter GENE cylB		-	1589277.7	1.818	0.681885	0.681885	873738
Enterococcus faecalis GeneID EF0954		-	1574244.66	1.8010000000000002	1	1	283006
Enterococcus faecalis GENE cylL-s		-	1532913.74	1.754	0.841463	0.850575	63635
Enterobacter GENE hylB		-	1378608.57	1.577	0.628676	0.762797	586172
Enterobacter GENE ElrA		-	1375287.04	1.5730000000000002	0.802428	0.802428	827970
Enterobacter GENE ebpC		-	1348043.17	1.542	0.809565	0.812992	621617
Enterobacter GENE ebpA		-	1326829	1.518	0.816261	0.816261	1142023
Enterococcus faecalis GENE fsrA		-	1311544.64	1.5	1	1	198137
Enterobacter GENE tpx		-	1307355.22	1.496	0.834951	0.834951	186745
Enterococcus faecalis GENE fsrC		-	1293022.23	1.4789999999999999	1	1	360967
Enterobacter GENE agg		-	1274328.8	1.458	0.592887	0.597593	1378170
Enterobacter GENE cylL		-	1266318.5	1.4489999999999998	1	0.797468	12108
Enterobacter GENE SrtA		-	1230186.99	1.407	0.818763	0.818763	258748
Enterobacter GENE camE		-	1017948.05	1.165	0.844118	0.844118	161872
Enterococcus faecalis GeneID EF1817		-	961691.32	1.0999999999999999	1	1	163265
Enterobacter GENE cOB1		-	824506.63	0.943	0.656878	0.656878	240530
Enterococcus faecalis GENE ace		-	798726.84	0.914	0.561674	0.561674	741810
Staphylococcus aureus GENE AACA-APHD		-	158174.78	0.181	1	1	45571
Staphylococcus aureus GI 33390919		-	7085.31	0.008	0.668342	0.75	437
Staphylococcus lentus GENE pre		-	3399.45	0.004	0.551724	0.551724	338
Staphylococcus lentus GENE repC		-	2931.6	0.003	0.457077	0.457077	333
