GO ID	GO Category	GO Description	Copies per Million (CPM)	Relative Abundance
GO:0016021	Cellular_Components	integral component of membrane	98753.1	9.908593026091621
GO:0005524	Molecular_Functions	ATP binding	53310.3	5.348997315515687
GO:0005737	Cellular_Components	cytoplasm	43476.4	4.3622929694315395
GO:0003677	Molecular_Functions	DNA binding	36945.1	3.7069617076148247
GO:0005886	Cellular_Components	plasma membrane	19533.6	1.9599434623770118
GO:0046872	Molecular_Functions	metal ion binding	18254.6	1.8316123975256684
GO:0006412	Biological_Processes	translation	14780.7	1.4830515795529702
GO:0003735	Molecular_Functions	structural constituent of ribosome	13158.7	1.3203049124780064
GO:0016787	Molecular_Functions	hydrolase activity	11369.7	1.140801960938481
GO:0005840	Cellular_Components	ribosome	11081.5	1.1118848281080218
GO:0016887	Molecular_Functions	ATPase activity	10467.8	1.050307991126576
GO:0003700	Molecular_Functions	DNA-binding transcription factor activity	10209.9	1.0244310703875912
GO:0055085	Biological_Processes	transmembrane transport	9478.7	0.9510646320613192
GO:0006355	Biological_Processes	regulation of transcription, DNA-templated	8860.02	0.8889881166569179
GO:0016740	Molecular_Functions	transferase activity	8732.02	0.8761449764685115
GO:0019843	Molecular_Functions	rRNA binding	8658.87	0.8688053225249025
GO:0005975	Biological_Processes	carbohydrate metabolic process	8411.42	0.8439769237778619
GO:0008270	Molecular_Functions	zinc ion binding	7895.15	0.7921759238945133
GO:0000287	Molecular_Functions	magnesium ion binding	7882.92	0.790948801984324
GO:0003723	Molecular_Functions	RNA binding	7701.22	0.7727175631387503
GO:0016491	Molecular_Functions	oxidoreductase activity	7535.13	0.7560525853739656
GO:0022857	Molecular_Functions	transmembrane transporter activity	6417.38	0.6439008670490328
GO:0003676	Molecular_Functions	nucleic acid binding	6392.94	0.641448629969309
GO:0016020	Cellular_Components	membrane	6003.68	0.6023914366119721
GO:0005525	Molecular_Functions	GTP binding	5895.77	0.5915640674109491
GO:0016301	Molecular_Functions	kinase activity	5687.35	0.5706518230510453
GO:0003824	Molecular_Functions	catalytic activity	5312.39	0.533029449261632
GO:0009401	Biological_Processes	phosphoenolpyruvate-dependent sugar phosphotransferase system	5236.33	0.5253978145528022
GO:0051301	Biological_Processes	cell division	4940.14	0.495678988830895
GO:0006281	Biological_Processes	DNA repair	4916.29	0.4932859506004771
GO:0043565	Molecular_Functions	sequence-specific DNA binding	4841.28	0.48575966977600543
GO:0006260	Biological_Processes	DNA replication	4579.25	0.45946835709187916
GO:0030170	Molecular_Functions	pyridoxal phosphate binding	3906.58	0.39197464529082127
GO:0000049	Molecular_Functions	tRNA binding	3817.16	0.3830025078248267
GO:0051539	Molecular_Functions	4 iron, 4 sulfur cluster binding	3635.43	0.3647682588682711
GO:0008168	Molecular_Functions	methyltransferase activity	3631.76	0.36440002195818166
GO:0006310	Biological_Processes	DNA recombination	3559.41	0.35714063764075027
GO:0043190	Cellular_Components	ATP-binding cassette (ABC) transporter complex	3353.93	0.3365233841570489
GO:0016829	Molecular_Functions	lyase activity	3215.96	0.3226798837524048
GO:0000160	Biological_Processes	phosphorelay signal transduction system	3186.9	0.31976408958150565
GO:0008982	Molecular_Functions	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity	3167.54	0.3178215646280092
