Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Streptococcus anginosus	1328	17.95	479434	622380
Propionimicrobium lymphophilum	33012	15.9	482319	551300
Escherichia coli	562	8.47	584291	293680
Actinotignum schaalii_A	59505	8.39	258755	290906
Aerococcus sp001809535	119206	5.11	157759	177179
Imtechella halotolerans	1165090	4.97	229277	172325
Varibaculum massiliense	1852372	4.47	151236	154988
Allobacillus halotolerans	570278	4.46	167447	154641
Aerococcus urinae_D	1376	4.17	131076	144586
Actinotignum sanguinis	1445614	3.65	110684	126556
Bifidobacterium longum	216816	3.29	117038	114074
Actinotignum timonense	1870995	2.84	96091	98471
Aerococcus sp001813115	119206	2.31	73819	80095
Pauljensenia turicensis	131111	2.2	63697	76281
Aerococcus urinae_B	1376	2.07	57684	71773
Lactobacillus gasseri	1596	1.28	33948	44381
Peptoniphilus_A harei_A	54005	0.9899999999999999	26388	34326
Aerococcus sanguinicola	119206	0.72	21759	24965
Vaginimicrobium propionicum	1871034	0.72	21709	24965
Facklamia hominis	178214	0.69	18309	23924
Prevotella timonensis	386414	0.57	27173	19764
Aerococcus urinae_A	1376	0.53	16166	18377
Actinobaculum massiliense	202789	0.43	12969	14909
Prevotella timonensis_A	386414	0.34	15902	11789
Peptoniphilus_B duerdenii	507750	0.32	9374	11095
Varibaculum timonense_A	1870994	0.24	7529	8322
Varibaculum cambriense	184870	0.22	6642	7628
Campylobacter_B ureolyticus	827	0.18	4317	6241
Prevotella bergensis	242750	0.16	7591	5548
Porphyromonas_A somerae	322095	0.15	5299	5201
Trueperella bernardiae	59561	0.14	3953	4854
Peptoniphilus_A vaginalis	54005	0.14	3503	4854
Falseniella ignava	137730	0.13	3175	4507
Allobacillus salarius	1955272	0.13	4964	4507
Campylobacter_B ureolyticus_A	827	0.12	2991	4161
Corynebacterium riegelii	156976	0.11	4140	3814
Peptoniphilus_A harei	54005	0.11	2915	3814
Peptoniphilus_A lacrimalis	33031	0.1	2798	3467
Finegoldia magna	1260	0.09	2439	3121
Urinicoccus massiliensis	1723382	0.07	1966	2427
Prevotella disiens	28130	0.06	2228	2080
Finegoldia magna_H	1260	0.06	1656	2080
Ezakiella coagulans	46507	0.06	1537	2080
Anaerococcus octavius	54007	0.06	1689	2080
Prevotella buccalis	28127	0.05	2058	1734
Porphyromonas uenonis	281920	0.05	1767	1734
Porphyromonas asaccharolytica	28123	0.05	1510	1734
Prevotella colorans	1703337	0.04	1815	1387
Porphyromonas uenonis_A	281920	0.04	1403	1387
Comamonas tsuruhatensis	80866	0.04	3666	1387
Anaerococcus sp900258475	77133	0.04	1330	1387
Peptoniphilus_C pacaensis	1776390	0.04	1045	1387
Prevotella sp001552765	1497954	0.03	1106	1040
Prevotella sp900547085	838	0.03	1016	1040
Porphyromonas_A sp001808555	1739394	0.03	1006	1040
Porphyromonas_A sp900120395	1720317	0.03	882	1040
Peptoniphilus_A grossensis	1465756	0.03	777	1040
Finegoldia magna_F	1260	0.03	981	1040
Helcococcus sueciensis	241555	0.03	599	1040
Anaerococcus lactolyticus	33032	0.03	862	1040
Peptoniphilus_C coxii	755172	0.03	885	1040
Staphylococcus simulans	1286	0.02	862	693
Prevotella sp000479005	28127	0.02	807	693
Bradyrhizobium sp003020075	2057741	0.02	1773	693
Urinicoccus timonensis	2024205	0.02	481	693
Gleimia_u_s	2692113	0.01	393	347
Mobiluncus curtisii	2051	0.01	357	347
Brevibacterium ravenspurgense	479117	0.01	335	347
Cutibacterium avidum	33010	0.01	240	347
Corynebacterium_u_s	1716	0.01	462	347
Corynebacterium pyruviciproducens	598660	0.01	409	347
Lawsonella clevelandensis	1528099	0.01	148	347
Ralstonia pickettii_B	329	0.01	815	347
Agrobacterium oryzihabitans	357	0.01	647	347
Campylobacter_B hominis	76517	0.01	312	347
Ezakiella peruensis	1464038	0.01	312	347
Khoudiadiopia massiliensis	1871001	0.01	264	347
Dialister micraerophilus	309120	0.01	120	347
Negativicoccus succinicivorans	620903	0.01	216	347
