Class	Abundance Score	Relative Abundance	Unique Matches Frequency
Macrolide-Lincosamine-Streptogramin B	209469.86000000002	27.691	2835
Aminoglycoside	196886.90999999997	26.026	3166
Sulfonamides_Trimethoprim	91865.69999999998	12.142999999999999	8396
Tetracyclines	91760.17	12.129999999999999	4045
Polimixin_Colistin	88463.23	11.694	25590
Sulfa drugs	29566.15	3.9079999999999995	6708
Class A beta-lactamases	26695.18	3.5290000000000004	10114
Ppseudomonic Acid	12189.52	1.611	18
Fosfomycin	4872	0.644	389
Phenicol	4736.69	0.626	541
