Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Bifidobacteriaceae	31953	97.71	11911394	11960797
Enterococcaceae	81852	0.54	86784	66102
Alkalibacillaceae	186817	0.45	57895	55085
Flavobacteriaceae	49546	0.4099999999999999	65059	50189
Veillonellaceae	31977	0.36	37142	44068
Staphylococcaceae	90964	0.17	18919	20809
Pasteurellaceae	712	0.12	11201	14688
Propionibacteriaceae	31957	0.08	8032	9793
Xanthobacteraceae	335928	0.06999999999999999	32580	8568
Actinomycetaceae	2049	0.060000000000000005	6002	7345
Mycobacteriaceae	1762	0.02	2041	2448
Enterobacteriaceae	543	0.02	4070	2448
