Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Actinomycetales	2037	79.99	15438717	15851049
Bacteroidales	171549	5.459999999999999	1401506	1081969
Tissierellales	1737405	4.919999999999998	736397	974962
Lactobacillales	186826	3.1999999999999993	552892	634122
Mycobacteriales	85010	2.6	548434	515223
Staphylococcales	1385	1.5699999999999998	283200	311115
Enterobacterales	91347	0.8	321686	158530
Rhizobiales	356	0.5499999999999999	379707	108991
Veillonellales	1843489	0.24	24000	47559
Propionibacteriales	85009	0.23000000000000004	41306	45578
Flavobacteriales	200644	0.15	36923	29724
Bacillales_D	1385	0.14	28503	27743
Coriobacteriales	84999	0.05	16153	9908
Campylobacterales	213849	0.03	4791	5945
Pseudomonadales	72274	0.01	2074	1982
