ID	Name	Copies per Million (CPM)	Relative Abundance
PWY66-429	fatty acid biosynthesis initiation (mitochondria)	52915.6	5.291560291035818
P41-PWY	pyruvate fermentation to acetate and (S)-lactate I	44605.6	4.460560245330815
PWY-5100	pyruvate fermentation to acetate and lactate II	44605.6	4.460560245330815
PWY-5686	UMP biosynthesis I	40671.4	4.067140223692714
PWY-7790	UMP biosynthesis II	40671.4	4.067140223692714
PWY-7791	UMP biosynthesis III	40671.4	4.067140223692714
PWY-6527	stachyose degradation	35703.6	3.5703601963698124
UDPNAGSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis I	34002.2	3.4002201870121116
PWY-6151	S-adenosyl-L-methionine salvage I	30718.8	3.0718801689534105
THRESYN-PWY	superpathway of L-threonine biosynthesis	29641	2.9641001630255106
PWY-724	superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	29067.2	2.9067201598696104
COA-PWY	coenzyme A biosynthesis I (prokaryotic)	28036.8	2.80368015420241
PWY-7851	coenzyme A biosynthesis II (eukaryotic)	28036.8	2.80368015420241
PWY-5097	L-lysine biosynthesis VI	27823.6	2.78236015302981
COA-PWY-1	superpathway of coenzyme A biosynthesis III (mammals)	27821.7	2.7821701530193597
PWY-2941	L-lysine biosynthesis II	27759.2	2.7759201526756097
PWY-2942	L-lysine biosynthesis III	27606.1	2.7606101518335597
TRNA-CHARGING-PWY	tRNA charging	26989.6	2.698960148442809
P161-PWY	acetylene degradation (anaerobic)	26677.6	2.6677601467268093
PWY0-1477	ethanolamine utilization	26677.6	2.6677601467268093
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	25966.7	2.5966701428168593
PWY-5384	sucrose degradation IV (sucrose phosphorylase)	25794.6	2.579460141870309
PWY-3841	folate transformations II (plants)	25013	2.501300137571509
PWY-6386	UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	24332	2.4332001338260087
PWY-6317	D-galactose degradation I (Leloir pathway)	22724.5	2.272450124984758
PWY-1042	glycolysis IV	20109	2.0109001105995072
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)	20096	2.009600110528007
PWY-6387	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	19603.9	1.960390107821457
PWY-7221	guanosine ribonucleotides de novo biosynthesis	9906.01	0.9906010544830585
PWY-5484	glycolysis II (from fructose 6-phosphate)	6574.43	0.6574430361593674
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	6039.46	0.6039460332170321
