Pfam ID	Name	Copies per Million (CPM)	Relative Abundance
PF07715	TonB-dependent Receptor Plug Domain	15491.5	1.549149987761714
PF00593	TonB dependent receptor	12400.5	1.2400499902036042
PF00072	Response regulator receiver domain	10910.2	1.0910199913809415
PF00005	ABC transporter	10675.1	1.0675099915666704
PF08281	Sigma-70, region 4	10515.3	1.0515299916929124
PF04542	Sigma-70 region 2	10470.9	1.0470899917279883
PF07980	SusD family	8809.36	0.8809359930406052
PF14322	Starch-binding associating with outer membrane	8124.29	0.8124289935818103
PF02518	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	6457.79	0.6457789948983456
PF04773	FecR protein	5712.85	0.5712849954868482
PF12833	Helix-turn-helix domain	5277.61	0.5277609958306877
PF16344	Domain of unknown function (DUF4974)	5083.21	0.5083209959842637
PF01381	Helix-turn-helix	4800.91	0.48009099620728074
PF00196	Bacterial regulatory proteins, luxR family	4406.92	0.44069199651853297
PF00691	OmpA family	4270.41	0.42704099662637585
PF00583	Acetyltransferase (GNAT) family	4152.22	0.41522199671974597
PF00571	CBS domain	4129.92	0.4129919967373629
PF00512	His Kinase A (phospho-acceptor) domain	3954.05	0.39540499687630026
PF00675	Insulinase (Peptidase family M16)	3778.8	0.3778799970147478
PF05193	Peptidase M16 inactive domain	3778.8	0.3778799970147478
PF00270	DEAD/DEAH box helicase	3693.27	0.3693269970823165
PF02321	Outer membrane efflux protein	3463.77	0.3463769972636215
PF00271	Helicase conserved C-terminal domain	3413.04	0.3413039973036982
PF01979	Amidohydrolase family	3321.21	0.3321209973762439
PF00144	Beta-lactamase	3272.33	0.32723299741485906
PF00535	Glycosyl transferase family 2	3210.49	0.3210489974637127
PF04397	LytTr DNA-binding domain	3173.39	0.3173389974930217
PF00155	Aminotransferase class I and II	3136.82	0.313681997521912
PF04055	Radical SAM superfamily	3058.4	0.3058399975838638
PF16576	Barrel-sandwich domain of CusB or HlyD membrane-fusion	3056.66	0.3056659975852384
PF00291	Pyridoxal-phosphate dependent enzyme	3051.53	0.30515299758929115
PF01966	HD domain	3050.83	0.30508299758984414
PF00929	Exonuclease	3012.68	0.30126799761998263
PF00326	Prolyl oligopeptidase family	2976.98	0.2976979976481856
PF04389	Peptidase family M28	2916.26	0.29162599769615444
PF02687	FtsX-like permease family	2840.17	0.28401699775626554
PF12704	MacB-like periplasmic core domain	2840.17	0.28401699775626554
PF00149	Calcineurin-like phosphoesterase	2736.68	0.27366799783802265
PF07676	WD40-like Beta Propeller Repeat	2536.43	0.25364299799622014
PF00132	Bacterial transferase hexapeptide (six repeats)	2525.92	0.25259199800452303
PF07992	Pyridine nucleotide-disulphide oxidoreductase	2442.48	0.24424799807044065
PF01926	50S ribosome-binding GTPase	2360.07	0.2360069981355446
PF01272	Transcription elongation factor, GreA/GreB, C-term	2289.46	0.22894599819132644
PF01370	NAD dependent epimerase/dehydratase family	2249.89	0.22498899822258675
PF00027	Cyclic nucleotide-binding domain	2235.73	0.22357299823377316
PF01610	Transposase	2233.08	0.22330799823586664
PF03572	Peptidase family S41	2162.28	0.2162279982917987
PF00474	Sodium:solute symporter family	2144.21	0.21442099830607397
