Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Bacillota_A	1239	47.460000000000015	666634	605591
Bacillota	1239	23.720000000000002	236335	302664
Actinomycetota	201174	17.489999999999995	202225	223171
Bacteroidota	976	5.18	95707	66097
Methanobacteriota	28890	3.58	32329	45681
Pseudomonadota	1224	1.0200000000000002	23380	13013
Bacillota_C	1239	0.78	7377	9952
Verrucomicrobiota	74201	0.53	8482	6763
Desulfobacterota	2904303	0.12	2150	1531
Bacillota_B	1239	0.06	623	766
Synergistota	508458	0.04	750	510
