Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Actinomycetia	1760	40.699999999999996	1649970	1667801
Bacilli	91061	32.71000000000001	1244843	1340385
Clostridia	186801	13.729999999999997	495880	562626
Bacteroidia	200643	11.84	674764	485177
Campylobacteria	29547	0.72	22949	29504
Negativicutes	909932	0.22999999999999998	5492	9425
Gammaproteobacteria	1236	0.04	1646	1639
Verrucomicrobiae	203494	0.02	941	820
Methanobacteria	183925	0.02	785	820
Peptococcia	186801	0.01	519	410
