Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Bifidobacterium longum	216816	67.39	2617248	2657678
Streptococcus anginosus GCA_001838575.1	1715113	11.25	348157	443669
Actinotignum timonense GCA_002860685.1	1870995	7.2700000000000005	273713	286709
Corynebacterium pyruviciproducens GCA_000411375.1	1125779	4.44	197823	175101
Winkia sp002849225 GCA_002872055.1	2069311	3.44	124045	135664
Allobacillus halotolerans GCA_007559355.1	1955271	1.03	43126	40620
Imtechella halotolerans GCA_000260835.1	946077	1.03	52700	40620
Bradyrhizobium sp003020075 GCA_000465325.1	1230476	0.6	75078	23662
Actinotignum schaalii	59505	0.4	14025	15775
Finegoldia magna_H GCA_000010185.1	334413	0.4	11747	15775
Scardovia wiggsiae GCA_000269605.1	857290	0.24	6317	9465
Bradyrhizobium viridifuturi GCA_002289535.1	418599	0.22	32113	8676
Staphylococcus haemolyticus GCA_001922505.1	1663564	0.18	6705	7099
Corynebacterium glucuronolyticum GCA_001815555.1	1739536	0.17	7789	6704
Actinotignum sanguinis GCA_003957255.1	1445614	0.16	5375	6310
Bradyrhizobium sp002532045 GCA_002532045.1	142585	0.14	19286	5521
Bradyrhizobium elkanii	29448	0.1	13818	3944
Bradyrhizobium pachyrhizi	280333	0.1	15860	3944
Peptoniphilus_A harei_A GCA_000183565.2	908338	0.1	3044	3944
Aerococcus urinae_B GCA_001811135.1	1739288	0.09	2760	3549
Bradyrhizobium septentrionale GCA_000426785.1	172088	0.09	14608	3549
Dialister micraerophilus GCA_000194985.1	888062	0.09	1823	3549
Aerococcus urinae_D GCA_001809895.1	1715159	0.08	2747	3155
Prevotella buccalis GCA_000177075.1	679190	0.07	3655	2761
Varibaculum cambriense GCA_000420065.1	1123488	0.06	1853	2366
Corynebacterium tuberculostearicum GCA_000156615.2	525264	0.06	2529	2366
Prevotella sp900547085 GCA_900547085.1	159272	0.06	2196	2366
Comamonas tsuruhatensis GCA_000710145.1	1537702	0.06	6674	2366
Finegoldia magna GCA_009678265.1	2584653	0.06	1698	2366
Propionimicrobium lymphophilum GCA_000510445.1	1111131	0.04	1353	1577
Ralstonia pickettii_B GCA_000372665.1	1264675	0.04	3157	1577
Facklamia hominis GCA_000301035.1	883111	0.03	819	1183
Allobacillus salarius GCA_007559425.1	1955272	0.03	1234	1183
Prevotella timonensis GCA_000455445.1	1122992	0.03	1494	1183
Prevotella sp000479005 GCA_000479005.1	1111130	0.03	1211	1183
Pseudomonas_E antarctica_A GCA_001647715.1	219572	0.03	3132	1183
Bradyrhizobium ivorense	2511166	0.03	4675	1183
Peptoniphilus_A grossensis GCA_000311825.1	1118057	0.03	1042	1183
Veillonella parvula_A GCA_901876955.1	29466	0.03	1027	1183
Meiothermus_B silvanus GCA_000092125.1	526227	0.03	1412	1183
Varibaculum massiliense GCA_900106855.1	1852372	0.02	917	789
Varibaculum cambriense_A GCA_000508625.1	1403948	0.02	612	789
Lawsonella clevelandensis	1528099	0.02	580	789
Cutibacterium avidum	33010	0.02	924	789
Olegusella massiliensis GCA_900078545.1	1776381	0.02	540	789
Porphyromonas_A sp001808555 GCA_001808555.1	1739394	0.02	821	789
Methylobacterium thiocyanatum GCA_000019945.1	441620	0.02	1643	789
Staphylococcus epidermidis	1282	0.01	308	394
Dermabacter hominis	36740	0.01	385	394
Slackia exigua	84109	0.01	488	394
Prevotella timonensis_A GCA_000762405.1	1401062	0.01	772	394
Bradyrhizobium japonicum_C GCA_000426845.1	1304878	0.01	1543	394
Bradyrhizobium sp000938305	722472	0.01	1552	394
Afipia sp001425835 GCA_001425835.1	1736436	0.01	677	394
Agrobacterium oryzihabitans GCA_000219665.2	1050720	0.01	1181	394
Phyllobacterium_u_t	28100	0.01	590	394
Peptoniphilus_A vaginalis GCA_900176605.1	1756987	0.01	332	394
Peptoniphilus_A lacrimalis GCA_000378725.1	1122949	0.01	332	394
Anaerococcus vaginimassiliensis GCA_900626155.1	2042308	0.01	257	394
Mogibacterium timidum	35519	0.01	205	394
