CAZy ID	Copies per Million (CPM)	Relative Abundance
GH13	141501	14.150108773067437
GH23	105182	10.518206521288043
GT4	97601.8	9.760186051315351
GH1	83435.2	8.343525172985606
GH77	70227.1	7.0227143540829
GT35	68327.8	6.832784236326226
CBM48	65646.2	6.564624070066922
GT2	50740.8	5.074083145931551
GT28	50599.6	5.059963137177145
GT51	46791.2	4.679122901056198
GT5	38387.1	3.8387123800016756
GH73	30869.9	3.0869919139349866
GH36	19521.5	1.9521512103337504
GH112	18282.5	1.8282511335157028
CBM50	16783.4	1.6783410405714454
GH92	15368.1	1.5368109528227907
AA3	12474.4	1.2474407734132795
GH25	11282.6	1.1282606995216338
GH32	11007.3	1.100730682453023
GH3	8395.59	0.8395595205269027
GH38	7492.96	0.749296464563808
CBM32	7492.48	0.7492484645340479
GH101	7492.48	0.7492484645340479
GT26	5849.26	0.5849263626543448
GT8	5353.24	0.5353243319010857
GH20	3893.87	0.3893872414200897
