Name	Tax ID	GTDB ID	Domain	Relative Abundance	% Total Matches	% Unique Matches	Reads Frequency	Normalized Reads Frequency
g__Streptococcus	1301		Bacteria	13.87	0.48227	0.334532	555035	563444
s__Falseniella ignava GCA_000301055.1	883112	GCA_000301055.1	Bacteria	7.46	0.747006	0.746859	250895	303049
s__Facklamia hominis GCA_000413455.1	883110	GCA_000413455.1	Bacteria	6.64	0.708995	0.427927	245365	269738
s__Staphylococcus haemolyticus GCA_001922505.1	1663564	GCA_001922505.1	Bacteria	4.73	0.922802	0.397498	205764	192148
s__Streptococcus mitis_BE GCA_001808785.1	1715180	GCA_001808785.1	Bacteria	3.85	0.078607	0.06028	152407	156399
JC polyomavirus	10632	GCF_000863805.1	Viruses	3.01	0.9063	0.905812	3096	122276
s__Streptococcus symci GCA_000722755.1	28037	GCA_000722755.1	Bacteria	2.93	0.07279	0.042186	119527	119026
s__Finegoldia magna_H GCA_000179495.1	768713	GCA_000179495.1	Bacteria	2.93	0.523348	0.173891	103059	119026
s__Trueperella bernardiae GCA_001808405.1	1581135	GCA_001808405.1	Bacteria	2.57	0.884638	0.271806	104691	104402
s__Peptoniphilus_C coxii GCA_001553115.1	755172	GCA_001553115.1	Bacteria	2.54	0.64556	0.645823	91857	103183
s__Aerococcus sp001809535 GCA_001809535.1	1715105	GCA_001809535.1	Bacteria	2.1	0.990182	0.943567	88804	85309
s__Peptoniphilus_A harei_A GCA_000183565.2	908338	GCA_000183565.2	Bacteria	2.02	0.57609	0.535393	71970	82059
s__Streptococcus sp001650315 GCA_001650315.1	1860161	GCA_001650315.1	Bacteria	1.9900000000000002	0.02378	0.021739	74884	80840
s__Streptococcus mitis_AI GCA_000385835.1	1239793	GCA_000385835.1	Bacteria	1.9	0.039601	0.022018	74889	77184
s__Ezakiella coagulans GCA_003096635.1	46507	GCA_003096635.1	Bacteria	1.8500000000000003	0.500085	0.500021	65571	75153
