Name	Tax ID	Relative Abundance	Reads Frequency	Normalized Reads Frequency
Imtechella	1165076	18.75	527466	423519
Allobacillus	1400133	17.2	393638	388508
Anaerococcus	165779	8.700000000000003	152908	196512
Peptoniphilus_C	162289	8.65	142983	195383
Streptococcus	1301	8.64	153964	195158
Varibaculum	184869	8.340000000000002	153857	188382
Finegoldia	150022	5.65	91562	127620
Peptoniphilus_A	162289	5.44	89307	122878
Prevotella	838	2.7299999999999995	72825	61664
Porphyromonas_A	836	2.52	46411	56921
Lawsonella	1847725	1.6	27875	36140
Rothia	508215	1.57	32610	35462
Comamonas	283	1.47	89745	33203
Dialister	39948	1.06	12403	23943
Porphyromonas	836	0.86	17433	19426
Veillonella	29465	0.8300000000000001	15607	18748
Ralstonia	48736	0.78	33431	17618
Bradyrhizobium	374	0.74	50537	16715
Winkia	2692118	0.66	12974	14908
Stenotrophomonas	40323	0.64	26900	14456
Pseudomonas_E	286	0.51	29900	11520
Slackia	84108	0.42	7913	9487
Cutibacterium	1912216	0.4	9125	9035
Methylobacterium	407	0.38	19750	8584
Agrobacterium	357	0.28	12901	6325
Meiothermus_B	65551	0.27	7623	6098
Staphylococcus	1279	0.15	3296	3389
Blautia_A	572511	0.13	4525	2937
Phyllobacterium	28100	0.12	5746	2711
Urinicoccus	2024199	0.09	1510	2033
Micrococcus	1269	0.06	1388	1355
Corynebacterium	1716	0.06	1288	1356
Fannyhessea	2767327	0.06	824	1355
Oliverpabstia	2815777	0.05	1431	1129
Paraburkholderia	1822464	0.04	2883	904
Gemmiger	204475	0.03	758	678
Kocuria	57493	0.03	802	678
Lacticaseibacillus	2759736	0.02	607	452
Enterococcus	1350	0.02	455	452
Dermacoccus	57495	0.02	542	452
CAG-41	2039302	0.01	173	226
Pelomonas	335058	0.01	282	226
Roseomonas	125216	0.01	304	226
Sphingobium	165695	0.01	304	226
