Name	Tax ID	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus phage P954	668618	1583.41	15.57	0.06	0.188551	244
unclassified Siphoviridae	196894	1350.12	13.276	0.067766	0.181406	84
Staphylococcus phage 11	12360	1176.54	11.569	0.028017	0.154579	44
Staphylococcus phage 69	320834	1091.13	10.729	0.023427	0.141591	57
Staphylococcus phage phiETA2	326036	1087.76	10.696	0.025962	0.138221	62
Merkel cell polyomavirus	493803	974.98	9.587	0.142037	0.143665	535
Staphylococcus phage tp310-3	445517	574.43	5.649	0.047953	0.085051	41
Staphylococcus phage PT1028	320831	413.6	4.067	0.056133	0.056133	812
Staphylococcus phage StauST398-5	1308897	389.87	3.834	0.093137	0.059218	142
Staphylococcus phage Pvl108	360398	383.17	3.768	0.017176	0.052866	18
Staphylococcus phage PVL	71366	367.63	3.615	0.011213	0.104539	11
Staphylococcus phage 88	320848	287.02	2.822	0.01167	0.050175	16
Staphylococcus phage phiPVL-CN125	648017	256.22	2.519	0.015411	0.038644	46
Staphylococcus phage 55	320845	233.71	2.298	0.021389	0.037909	94
