Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Staphylococcus epidermidis Scl25	1344992	56998.54	76.97699999999999	100
Staphylococcus capitis QN1	1189311	8646.27	11.677	9902
Propionibacterium acnes KPA171202	267747	3096.01	4.181	81
Staphylococcus aureus SA8-LAU	1429878	2835.55	3.8289999999999997	42
Staphylococcus warneri	1292	845.6	1.142	8
Staphylococcus sp. E463_u_t	1234593	462.93	0.625	2108
Staphylococcus caprae M23864:W1	525378	406.47	0.549	8147
Corynebacterium striatum ATCC 6940	525268	288.22	0.38899999999999996	7109
Porphyromonas_u_t	836	161.43	0.218	12
Streptococcus parasanguinis DORA_23_24	1403947	153.85	0.208	4386
Turicella otitidis ATCC 51513	883169	151.57	0.20500000000000002	3490
