Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Corynebacterium sp. KPL1856	1203563	55528.34	21.066	470
Staphylococcus epidermidis	1282	42316.86	16.054	311
Dialister_u_s	39948	29989.53	11.376999999999999	671
Peptoniphilus harei	54005	14235.36	5.4	251886
Actinomyces neuii	33007	12978.63	4.9239999999999995	347686
Finegoldia magna	1260	11867.31	4.502	239682
Peptoniphilus grossensis	1465756	9188.64	3.486	189498
Staphylococcus sp. DORA_6_22	1403935	8485.47	3.2190000000000003	411
Prevotella buccalis	28127	7627.25	2.894	253396
Anaerococcus senegalensis	1288120	7173.68	2.721	113110
Staphylococcus lugdunensis	28035	4586.48	1.7399999999999998	512
Peptostreptococcus anaerobius	1261	4523.76	1.7160000000000002	26585
Negativicoccus succinicivorans	620903	4476.2	1.698	32285
Anaerococcus obesiensis	1287640	4204.25	1.595	39671
Prevotella bergensis	242750	4183.64	1.587	102044
Anaerococcus vaginalis	33037	3636.1	1.379	31568
Staphylococcus capitis	29388	3624.52	1.375	3052
Peptoniphilus rhinitidis	1175452	3236.99	1.228	30129
Corynebacterium pseudogenitalium	38303	2612	0.991	15615
Corynebacterium tuberculostearicum	38304	2560.55	0.971	11710
Staphylococcus aureus	1280	2391.72	0.907	83
Cutibacterium avidum	33010	2264.06	0.859	666
Tissierellia bacterium S5-A11	1230730	2205.16	0.8370000000000001	17737
Propionibacterium_u_s	1743	2185.16	0.8290000000000001	31
Streptococcus agalactiae	1311	1698.25	0.644	684
Prevotella sp. BV3P1	1111130	1692.85	0.642	4940
Campylobacter ureolyticus	827	1326.74	0.503	8456
Anaerococcus provencensis	938293	1267.21	0.481	19850
Porphyromonas bennonis	501496	1130.76	0.42900000000000005	30772
Anaerococcus hydrogenalis	33029	1094.68	0.415	13182
Varibaculum cambriense	184870	973	0.369	13774
Corynebacterium striatum	43770	971.14	0.368	39134
Peptoniphilus senegalensis	1465757	815	0.309	15763
Anaerococcus lactolyticus	33032	595.64	0.22599999999999998	5949
Porphyromonas_u_s	836	553.7	0.21	49
Peptoniphilus sp. BV3AC2	1111133	539.06	0.20500000000000002	7848
Clostridioides difficile	1496	516.08	0.196	1266
Anaerococcus prevotii	33034	440.64	0.167	195
Peptoniphilus duerdenii	507750	413.44	0.157	4963
Peptoniphilus lacrimalis	33031	399.31	0.151	7854
Micrococcus luteus	1270	379.03	0.14400000000000002	481
Propionibacteriaceae_u_s	31957	351.2	0.133	10
Peptoniphilus timonensis	1268254	297.97	0.11299999999999999	4406
Mobiluncus_u_s	2050	292.99	0.11100000000000002	107
Prevotella timonensis	386414	270.39	0.10300000000000001	11029
Anaerococcus tetradius	33036	269.57	0.10200000000000001	10954
Propionibacterium sp. KPL1844	1203573	216.09	0.082	1824
Staphylococcus_u_s	1279	178.82	0.068	19
Facklamia_u_s	66831	149.95	0.056999999999999995	15
Prevotella melaninogenica	28132	149.64	0.056999999999999995	5604
Christensenella_u_s	990721	143.22	0.054	475
Streptococcus parasanguinis	1318	130.57	0.05	3688
Atopobium sp. BV3Ac4	1111121	89.88	0.034	231
Rothia_u_s	32207	85.72	0.033	19
Peptostreptococcus sp. MV1	1219626	80.06	0.03	3189
