Name	Tax ID	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus phage StB20	1147043	2285.68	25.258000000000003	0.222096	0.223452	8283
Staphylococcus phage PT1028	320831	1168.99	12.918	0.122666	0.122666	2612
Staphylococcus phage CNPH82	398839	985.51	10.89	0.100724	0.111837	2833
Siphoviridae	10699	967.09	10.687000000000001	0.499012	0.07059	2897
Staphylococcus phage Ipla7	1197953	955.71	10.561	0.079589	0.125485	1725
Staphylococcus phage PH15	399185	931.8	10.297	0.064392	0.117504	1887
Staphylococcus phage Ipla5	1197952	539.24	5.959	0.04866	0.087341	1089
Staphylococcus phage StauST398-5	1308897	431.2	4.765	0.192157	0.066018	225
Staphylococcus phage tp310-2	445516	360.04	3.979	0.118233	0.047138	834
Staphylococcus phage tp310-3	445517	134.51	1.486	0.208187	0.023502	212
Staphylococcus phage StB12	1147042	113.59	1.2550000000000001	0.012527	0.011885	973
Staphylococcus phage 42E	320837	107.11	1.184	0.037361	0.018713	219
Human immunodeficiency virus 1	11676	68.9	0.761	0.016544	0.016544	46
