Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Staphylococcaceae	90964	15836.83	44.07	3708
Corynebacteriaceae	1653	9052.85	25.191	4754
Peptoniphilaceae	1570339	4459.31	12.407999999999998	41671
Actinomycetaceae	2049	3972.93	11.055	71276
Propionibacteriaceae	31957	1552.1399999999999	4.319	363
Micrococcaceae	1268	416.37	1.159	1105
Moraxellaceae	468	207.36	0.577	22
Peptostreptococcaceae	186804	127.85	0.356	346
Streptococcaceae	1300	122.54	0.34099999999999997	13
Erysipelotrichaceae	128827	106.58	0.297	652
Pasteurellaceae	712	82.07	0.22799999999999998	151
