Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Staphylococcaceae	90964	88024.19	48.696999999999996	175772
Corynebacteriaceae	1653	26833.55	14.844999999999999	901419
Propionibacteriaceae	31957	25601.22	14.161999999999999	7271
Micrococcaceae	1268	22044.170000000002	12.194999999999997	120995
Moraxellaceae	468	6958.830000000001	3.8489999999999998	5835
Pseudonocardiaceae	2070	3190.56	1.765	15399
Microbacteriaceae	85023	1445.18	0.799	6434
Dermacoccaceae	145357	1159.63	0.642	14518
Pseudomonadaceae	135621	1061.55	0.5870000000000001	5166
Carnobacteriaceae	186828	768.7	0.425	11299
Rhodospirillales_u_f	204441	574.58	0.318	7301
Bacillales_u_f	1385	414.92	0.22999999999999998	4863
Bacteroidaceae	815	389.59	0.216	11253
Lactobacillaceae	33958	324.82	0.18	23
Peptoniphilaceae	1570339	257.04	0.14200000000000002	87
Veillonellaceae	31977	239.63	0.133	38
Rhodobacteraceae	31989	236.86	0.131	7140
Brevibacteriaceae	85019	221.98	0.123	7134
Actinomycetaceae	2049	222.07	0.123	3607
Shewanellaceae	267890	214.82	0.11900000000000001	175
Oxalobacteraceae	75682	196.42000000000002	0.108	3090
Bacillaceae	186817	111.19	0.062	12
Dermabacteraceae	85020	107.55	0.059000000000000004	1060
Paenibacillaceae	186822	82.41	0.046	2712
Clostridiales_u_f	186802	82.13	0.045	10
