Name	Tax ID	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus phage TEM123	1168613	4481.41	13.86	0.181102	0.437162	707
Staphylococcus phage phiETA2	326036	3076.52	9.515	0.123098	0.359335	629
Staphylococcus phage P954	668618	2857.54	8.838	0.155082	0.311106	685
Human polyomavirus 6	746830	2551.48	7.890999999999999	0.350671	0.350671	1006
Staphylococcus phage tp310-3	445517	1811.17	5.602	0.051462	0.222775	68
Staphylococcus phage phiETA3	326037	1611.06	4.983	0.011013	0.172608	45
Staphylococcus phage 92	320849	1572.46	4.8629999999999995	0.017159	0.212793	30
Staphylococcus phage 88	320848	1554.91	4.809	0.021882	0.203222	45
Staphylococcus phage 13	186153	1430.73	4.425	0.029835	0.20161	95
Staphylococcus phage phiPVL-CN125	648017	1395.03	4.315	0.017123	0.159316	33
Staphylococcus phage phiMR25	487152	1282.57	3.9669999999999996	0.043192	0.408534	252
Staphylococcus phage phiETA	106284	1233.47	3.8150000000000004	0.039571	0.152727	236
Staphylococcus phage PVL	71366	1227.59	3.7969999999999997	0.034659	0.179871	46
Staphylococcus phage 85	59506	1148.44	3.5520000000000005	0.038821	0.414396	192
Staphylococcus phage StauST398-5	1308897	1005.69	3.11	0.212745	0.123666	408
Staphylococcus phage phiBU01	1519999	781.85	2.418	0.031677	0.250014	75
Staphylococcus phage phiNM3	387909	745.78	2.307	0.024904	0.297016	28
Staphylococcus phage Sap26	872294	620.58	1.9189999999999998	0.018373	0.368603	88
Staphylococcus phage tp310-2	445516	493.6	1.5270000000000001	0.121465	0.056495	1113
Staphylococcus phage 42E	320837	409.99	1.268	0.053092	0.055833	374
Staphylococcus phage PT1028	320831	361.93	1.119	0.051437	0.051437	672
Staphylococcus phage 11	12360	266.84	0.8250000000000001	0.040948	0.490646	58
Staphylococcus phage SA12	1347760	183	0.5660000000000001	0.016762	0.315024	82
Staphylococcus phage Pvl108	360398	147.4	0.45599999999999996	0.021947	0.136708	30
Staphylococcus phage phiNM	387905	82.06	0.254	0.015169	0.478885	25
