Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus lentus GENE pre		-	2535113.3	34.033	1	1	527876
Staphylococcus lentus GENE repC		-	2175166.5	29.201	1	1	404850
Staphylococcus lentus GENE tetK		-	1513888.06	20.323	1	1	431472
Staphylococcus aureus GI 33390919		-	514223.97	6.903	1	1	45640
Staphylococcus lentus GI 60416745		-	265266.31	3.5610000000000004	1	1	2428
Enterococcus faecalis GENE tetL		-	100047.72	1.343	1	1	13301
Enterococcus faecalis GENE mobB		-	74338.57	0.9979999999999999	1	1	22174
Enterococcus faecium GENE tetL		-	72590.91	0.975	1	1	3492
Staphylococcus aureus GI 33390920		-	59861.8	0.804	1	1	5745
Staphylococcus aureus GENE dfrA		-	44693.92	0.6	0.815451	0.815451	6216
Staphylococcus aureus GENE AACA-APHD		-	29172.93	0.392	0.973592	0.973592	8309
Staphylococcus aureus GENE thyA		-	28337.71	0.38	1	1	7450
Staphylococcus epidermidis GeneID SEA1545		-	22258.74	0.299	1	1	2740
Staphylococcus aureus GI 33390947		-	4358.69	0.059000000000000004	1	1	54
Staphylococcus aureus GENE blaZ		-	4074.59	0.055	0.509719	0.509719	634
Streptococcus agalactiae GENE scpB		-	2484.46	0.033	0.684211	0.688889	26
Staphylococcus aureus GI 33390939		-	1860.03	0.025	0.547619	0.547619	24
Proteus mirabilis GENE tnpA		-	1262.87	0.017	0.5	0.5	10
