Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Bacillales	1385	877893.73	93.95800000000001	61957
Micrococcales	85006	23687.840000000004	2.5340000000000003	114567
Propionibacteriales	85009	15159.439999999999	1.6219999999999999	22875
Lactobacillales	186826	4879.18	0.5220000000000001	15106
Pseudomonadales	72274	4740.36	0.506	6792
Rhodospirillales	204441	2855.04	0.306	39058
Corynebacteriales	85007	1749.8	0.189	23332
Cytophagales	768507	1062.1	0.11399999999999999	26
Neisseriales	206351	495.56999999999994	0.053	377
Rhodobacterales	204455	440.15	0.047	10879
Pasteurellales	135625	415.24	0.044	3087
Burkholderiales	80840	326.87	0.034999999999999996	9415
Actinomycetales	2037	270.64	0.029	4226
Rhizobiales	356	229.53	0.025	1289
Caulobacterales	204458	161.68	0.017	3798
