Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Actinobacteria	201174	61037.21	74.01300000000002	315216
Bacilli	91061	9943.36	12.059	30373
Bacteroidia	200643	3276.8099999999995	3.9750000000000005	37942
Tissierellia	1737404	3064.54	3.7170000000000005	24695
Alphaproteobacteria	28211	2309.67	2.801	22738
Clostridia	186801	1614.5700000000002	1.958	15843
Negativicutes	909932	760.78	0.9229999999999999	34
Gammaproteobacteria	1236	265.55	0.322	800
Epsilonproteobacteria	29547	105.03	0.127	1172
Betaproteobacteria	28216	90.9	0.11	24
