Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Propionibacteriales	85009	41643.26	50.495000000000005	773
Micrococcales	85006	10983.479999999998	13.318999999999999	232859
Bacillales	1385	7313.650000000001	8.870000000000001	22724
Corynebacteriales	85007	6182.45	7.497000000000001	61653
Bacteroidales	171549	3276.8099999999995	3.9750000000000005	37942
Lactobacillales	186826	2629.71	3.189	7649
Rhodospirillales	204441	2309.67	2.801	22738
Tissierellales	1737405	2275.5699999999997	2.7600000000000002	15560
Actinomycetales	2037	2228.0200000000004	2.702	19931
Clostridiales	186802	1614.5700000000002	1.958	15843
Tissierellia_u_o	1737404	788.97	0.9570000000000001	9135
Veillonellales	1843489	760.78	0.9229999999999999	34
Pseudomonadales	72274	265.55	0.322	800
Campylobacterales	213849	105.03	0.127	1172
Neisseriales	206351	90.9	0.11	24
