Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Corynebacterium	1716	22772.030000000002	20.788	914417
Kocuria	57493	18503.01	16.892000000000003	758529
Staphylococcus	1279	15449.01	14.104000000000001	12722
Bordetella	517	13726.78	12.531999999999998	48330
Brevibacterium	1696	9031.68	8.246	295200
Brachybacterium	43668	5567.610000000001	5.083	324923
Cutibacterium	1912216	2686.76	2.4530000000000003	630
Enhydrobacter	212791	2054.76	1.876	23181
Propionibacteriaceae_u_g	31957	1842.56	1.6820000000000002	135
Micrococcus	1269	1572.57	1.436	7719
Gardnerella	2701	1412.54	1.29	1809
Actinomyces	1654	1381.85	1.2610000000000001	17197
Microbacterium	33882	1288.26	1.176	14136
Paenibacillus	44249	1269.85	1.159	18849
Pseudomonas	286	1173.67	1.072	3837
Acinetobacter	469	1158.51	1.058	1265
Streptococcus	1301	992.95	0.9059999999999999	2866
Klebsiella	570	991.3299999999999	0.905	328
Finegoldia	150022	878.42	0.8019999999999999	142
Rothia	32207	849.2199999999999	0.7759999999999999	7718
Anaerococcus	165779	560.44	0.511	3428
Gordonia	2053	461.35	0.42100000000000004	10820
Lactobacillus	1578	367.45	0.335	139
Prevotella	838	358.55999999999995	0.328	241
Lachnospiraceae_u_g	186803	264.47	0.241	6
Methylobacterium	407	264.45	0.241	6419
Aureimonas	414371	252.6	0.231	16
Facklamia	66831	217.47	0.199	1190
Peptoniphilus	162289	192.63	0.17600000000000002	2161
Veillonella	29465	192.22	0.17500000000000002	91
Bacteroides	816	171.13	0.156	4975
Haemophilus	724	165.13	0.151	372
Xanthomonas	338	149.49	0.136	838
Neisseriaceae_u_g	481	140.22	0.128	13
Porphyromonas	836	134.51	0.123	10
Paracoccus	265	106.42	0.097	416
Propionimicrobium	203133	97.32	0.089	766
Megasphaera	906	95.57	0.087	17
Shewanella	22	93.68	0.086	100
Roseomonas	125216	92.24	0.084	1598
Dermabacter	36739	90.54	0.083	4400
Actinobaculum	76833	79.38	0.07200000000000001	1844
Agrococcus	46352	77.38	0.07100000000000001	1703
Pantoea	53335	77.34	0.07100000000000001	13
Herbaspirillum	963	76.63	0.06999999999999999	918
Brevundimonas	41275	77.04	0.06999999999999999	539
Acidovorax	12916	75.26	0.06899999999999999	10
