Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Kocuria marina	223184	14547.24	13.281	694608
Bordetella pertussis B1920	743278	13726.78	12.531999999999998	48330
Corynebacterium ureicelerivorans	401472	13618.03	12.433	555558
Brevibacterium casei S18	1229781	8698.83	7.942	268913
Corynebacterium lipophiloflavum DSM 44291	525263	7855.22	7.170999999999999	327858
Staphylococcus epidermidis IS-K	904791	5095.75	4.652	70
Staphylococcus sp. MDS7B_u_t	1209359	4912.77	4.485	6705
Brachybacterium muris UCD-AY4	1249481	4900.1	4.474	289115
Kocuria rhizophila P7-4	1029824	2663.07	2.431	42713
Cutibacterium acnes	1747	2607.25	2.3800000000000003	80
Enhydrobacter aerosaccus SK60	553217	2054.76	1.876	23181
Propionibacteriaceae_u_t	31957	1842.56	1.6820000000000002	135
Staphylococcus hominis subsp. hominis C80	435837	1710.36	1.5610000000000002	1459
Micrococcus luteus	1270	1572.57	1.436	7719
Staphylococcus haemolyticus R1P1	1134914	1453.09	1.327	1004
Gardnerella vaginalis 409-05	553190	1412.54	1.29	1809
Microbacterium sp. KROCY2_u_t	1305732	1288.26	1.176	14136
Paenibacillus sophorae S27	682957	1269.85	1.159	18849
Kocuria palustris PEL	1236550	1208.58	1.103	18696
Staphylococcus aureus subsp. aureus CO-98	904802	1056.55	0.9650000000000001	187
Finegoldia magna	1260	878.42	0.8019999999999999	142
Pseudomonas putida TRO1	1227924	840.79	0.768	1309
Staphylococcus warneri	1292	624.17	0.5700000000000001	9
Actinomyces neuii BVS029A5	888439	577.18	0.527	11671
Acinetobacter_u_t	469	559.35	0.511	93
Klebsiella michiganensis	1134687	556.24	0.508	28
Acinetobacter sp. CIP 102637_u_t	1144669	521.64	0.47600000000000003	1078
Rothia dentocariosa M567	563032	513.31	0.469	6255
Gordonia aichiensis NBRC 108223	1220583	461.35	0.42100000000000004	10820
Brachybacterium paraconglomeratum LC44	1064537	455.81	0.416	18750
Anaerococcus hydrogenalis ACS-025-V-Sch4	879306	436.31	0.398	1866
Klebsiella sp. AS10_u_t	936564	435.09	0.39699999999999996	300
Actinomyces viscosus C505	562973	430.7	0.393	3374
Corynebacterium ihumii	1232427	399.88	0.365	11814
Actinomyces sp. oral taxon 175 str. F0384	944560	373.97	0.34099999999999997	2152
Lactobacillus_u_t	1578	290.24	0.265	17
Prevotella bivia	28125	281.15	0.257	97
Lachnospiraceae_u_t	186803	264.47	0.241	6
Methylobacterium sp. MB200_u_t	648885	264.45	0.241	6419
Streptococcus_u_t	1301	258.75	0.23600000000000002	25
Aureimonas_u_t	414371	252.6	0.231	16
Rothia mucilaginosa	43675	247.4	0.22599999999999998	1197
Staphylococcus capitis	29388	246.39	0.22499999999999998	119
