Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus aureus GI 33390919		-	25421.54	14.906	0.824121	0.886364	3260
Staphylococcus aureus GENE qacC		-	14026.3	8.224	1	1	1109
Staphylococcus aureus GI 33390948		-	11719.05	6.8709999999999996	0.635359	0.772414	995
Staphylococcus aureus GENE AACA-APHD		-	10765.32	6.311999999999999	0.93838	0.93838	2238
Staphylococcus aureus GI 33390945		-	8910.2	5.224	1	1	325
Staphylococcus lentus GENE tetK		-	8279.17	4.854	0.926316	0.926316	1523
Staphylococcus lentus GENE repC		-	8130.91	4.768	0.904872	0.904872	1131
Staphylococcus lentus GENE pre		-	7306.74	4.284000000000001	0.803245	0.803245	1172
Enterococcus faecalis GENE repB		-	7262.97	4.259	0.822404	0.822404	915
Staphylococcus aureus GI 33390940		-	6181.21	3.624	0.836879	0.836879	673
Enterococcus faecalis GENE tetL		-	6127.65	3.5929999999999995	1	0.896341	475
Staphylococcus aureus GI 33390920		-	5737.92	3.3640000000000003	0.770701	0.770701	358
Enterococcus faecium GENE sat4		-	5459.72	3.2009999999999996	0.866667	0.866667	270
Staphylococcus aureus GENE thyA		-	4937.19	2.895	0.721374	0.721374	558
Staphylococcus aureus GENE dfrA		-	4244.75	2.489	0.639485	0.639485	315
Staphylococcus epidermidis GeneID SEA1545		-	3756.26	2.202	0.666667	0.666667	197
Staphylococcus aureus GENE traB		-	3184.17	1.867	0.68595	0.68595	83
Enterococcus faecium GENE tetL		-	3110.11	1.8239999999999998	0.709091	0.73822	138
Staphylococcus aureus GI 33390942		-	3094.39	1.814	0.670732	0.670732	75
Staphylococcus aureus GENE traG		-	2873.46	1.685	0.504178	0.504178	220
Staphylococcus aureus GI 33390968		-	2783.14	1.6320000000000001	0.468828	0.468828	257
Staphylococcus aureus GI 33390969		-	2725.8	1.598	0.420925	0.420925	445
Staphylococcus aureus GI 33390958		-	2406.84	1.411	0.460432	0.460432	144
Staphylococcus aureus GENE traJ		-	2321.87	1.361	0.444444	0.444444	126
Enterococcus faecalis GENE cylR2		-	2315.23	1.358	0.581081	0.581081	43
Staphylococcus aureus GI 33390939		-	2155.05	1.264	0.404762	0.404762	62
Staphylococcus aureus GENE artA		-	1832.07	1.0739999999999998	0.492537	0.492537	33
Staphylococcus lentus GI 60416745		-	1815.28	1.064	0.75	0.75	9
Salmonella Infantis GENE tnpR		-	1663.54	0.975	0.42	0.42	42
