Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Staphylococcus epidermidis	1282	6241.49	39.159	6
Cutibacterium acnes	1747	3227.75	20.251	28
Propionibacterium sp. 5_U_42AFAA	450748	3221.16	20.21	136
Cutibacterium granulosum	33011	506.78	3.18	911
Brevibacterium casei	33889	399.98	2.5090000000000003	9067
Staphylococcus_u_s	1279	329.51	2.067	932
Peptoniphilus rhinitidis	1175452	300.14	1.883	2713
Rothia mucilaginosa	43675	194.79	1.222	876
Enhydrobacter aerosaccus	225324	184.83	1.16	1889
Propionibacteriaceae_u_s	31957	150.44	0.9440000000000001	46
Klebsiella_u_s	570	143.94	0.903	396
Anaerococcus hydrogenalis	33029	141.94	0.8909999999999999	700
Kocuria rhizophila	72000	138.74	0.8699999999999999	1949
Staphylococcus warneri	1292	117.75	0.739	993
Micrococcus luteus	1270	106.3	0.6669999999999999	34
Staphylococcus capitis	29388	101.69	0.638	363
Finegoldia magna	1260	95.54	0.599	209
Kocuria_u_s	57493	88.79	0.557	17
Staphylococcus hominis	1290	85.85	0.539	243
Rothia dentocariosa	2047	82.73	0.519	637
Staphylococcus aureus	1280	78.5	0.49300000000000005	26
