Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus lentus GENE tetK		-	10269.37	10.408000000000001	0.950376	0.950376	2286
Staphylococcus lentus GENE repC		-	10226.15	10.363999999999999	0.958237	0.958237	1632
Staphylococcus aureus GI 33390919		-	10029.7	10.165000000000001	0.668342	0.785714	1072
Staphylococcus lentus GENE pre		-	9830.14	9.963	0.929006	0.929006	1735
Staphylococcus aureus GI 33390945		-	6998.71	7.093000000000001	1	1	218
Staphylococcus lentus GI 60416745		-	6364.82	6.451	1	1	66
Staphylococcus aureus GENE AACA-APHD		-	5609.45	5.685	0.649648	0.649648	1002
Staphylococcus aureus GENE dfrA		-	5536.9	5.612	0.708155	0.708155	481
Staphylococcus aureus GI 33390920		-	4558.46	4.62	0.624204	0.624204	302
Staphylococcus aureus GENE blaI		-	4425.42	4.485	0.539683	0.539683	383
Enterococcus faec 751 Branch		-	4182.25	4.239	0.551471	0.551471	75
Enterococcus faecalis GENE repB		-	3938.66	3.9919999999999995	0.590164	0.590164	390
Staphylococcus aureus GENE thyA		-	3608.25	3.657	0.419847	0.419847	701
Staphylococcus aureus GENE qacC		-	3219.41	3.263	0.541096	0.541096	173
Staphylococcus aureus GENE blaZ		-	3119.33	3.161	0.488121	0.488121	352
Enterococcus faecalis GENE mobB		-	2716.99	2.754	0.428571	0.428571	357
Bacteroides vulgatus GI 33413459		-	1595.6	1.617	0.410526	0.410526	39
Staphylococcus aureus GI 33390939		-	1432.95	1.452	0.452381	0.452381	19
Staphylococcus lentus GI 60416748		-	1007.45	1.0210000000000001	0.5	0.5	6
