Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Actinobacteria	201174	818669.8600000001	78.76100000000002	845421
Bacilli	91061	145732.40999999997	14.020999999999994	63478
Tissierellia	1737404	50541.509999999995	4.8629999999999995	928245
Synergistia	649775	5454.76	0.525	1330
Negativicutes	909932	4511.49	0.43400000000000005	32886
Gammaproteobacteria	1236	4411.43	0.42500000000000004	8834
Bacteroidia	200643	3616.6200000000003	0.347	34950
Clostridia	186801	2521.13	0.242	8718
Epsilonproteobacteria	29547	2277.44	0.219	15739
Alphaproteobacteria	28211	1443.02	0.139	28951
Coriobacteriia	84998	146.09	0.013999999999999999	2431
Flavobacteriia	117743	91.06	0.009000000000000001	71
