Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus lentus GENE repC		-	3026665.85	33.032000000000004	1	1	549461
Staphylococcus lentus GENE tetK		-	2319782.69	25.317	1	1	640744
Staphylococcus lentus GENE pre		-	1551754.41	16.935	1	1	335269
Staphylococcus lentus GI 60416745		-	1080330.93	11.790000000000001	1	1	8417
Staphylococcus aureus GI 33390919		-	620702.88	6.773999999999999	1	1	59286
Staphylococcus aureus GI 33390920		-	160641.41	1.7530000000000001	1	1	14660
Staphylococcus aureus GENE dfrA		-	131309.97	1.433	0.944206	0.944206	17286
Staphylococcus aureus GENE thyA		-	128299.82	1.4000000000000001	1	1	34731
Staphylococcus epidermidis GeneID SEA1545		-	84569.7	0.923	1	1	10867
Staphylococcus aureus GI 33390947		-	22927.57	0.25	1	1	566
Staphylococcus lentus GENE repL		-	14167.47	0.155	1	1	1529
Staphylococcus lentus GENE ermC		-	10361.53	0.11299999999999999	1	1	1323
Staphylococcus aureus GENE blaI		-	7577.28	0.083	0.587302	0.587302	803
Staphylococcus lentus GI 60416748		-	3729.62	0.041	0.5	0.5	52
