Name	Tax ID	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Human immunodeficiency virus 1	11676	3795.78	54.759	0.050245	0.050245	4092
Equine infectious anemia virus	11665	1260.64	18.186	0.018813	0.018813	3498
Lactobacillus phage phi jlb1	1416334	796.59	11.491999999999999	0.08764	0.098983	1297
Lactobacillus prophage Lj771	139871	262.14	3.782	0.031878	0.037074	670
Lactobacillus phage phiadh	12417	213.19	3.076	0.030579	0.030791	773
Propionibacterium phage P105	1229788	188.56	2.7199999999999998	0.02364	0.050834	92
Propionibacterium phage PHL111M01	1235653	96.61	1.394	0.010036	0.043506	37
Propionibacterium phage P1.1	1229792	95.82	1.3820000000000001	0.010885	0.020348	38
Staphylococcus phage StB20	1147043	87.36	1.26	0.014448	0.014448	328
Siphoviridae	10699	73.9	1.0659999999999998	0.021439	0.021439	59
Stx2-converting phage 1717	563769	61.22	0.8829999999999999	0.011302	0.012679	88
