Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Micrococcaceae	1268	18442.050000000003	29.094	113969
Staphylococcaceae	90964	10362.29	16.348	35962
Corynebacteriaceae	1653	9498.399999999998	14.984000000000002	198197
Propionibacteriaceae	31957	8108.0599999999995	12.791000000000002	6627
Rhodospirillales_u_f	204441	6712.51	10.589	118310
Paenibacillaceae	186822	2646.75	4.175	40416
Pseudonocardiaceae	2070	2455.45	3.8739999999999997	8257
Moraxellaceae	468	1074.84	1.6949999999999998	4656
Microbacteriaceae	85023	572.48	0.903	2954
Streptococcaceae	1300	513.45	0.8089999999999999	167
Rhodobacteraceae	31989	480.12	0.757	14254
Peptoniphilaceae	1570339	384	0.606	1349
Neisseriaceae	481	260.85	0.41100000000000003	491
Actinomycetaceae	2049	227.32	0.358	6669
Enterobacteriaceae	543	202.96	0.32	24
Bacteroidaceae	815	191.07	0.301	6923
Alcaligenaceae	506	182.33	0.28800000000000003	423
Prevotellaceae	171552	181.75	0.28700000000000003	1055
Lactobacillaceae	33958	132.3	0.209	22
Shewanellaceae	267890	117.79	0.186	176
Pseudomonadaceae	135621	115.04	0.181	3044
Oxalobacteraceae	75682	94.38	0.149	20
Acetobacteraceae	433	94	0.148	2282
Carnobacteriaceae	186828	91.83	0.145	13
Veillonellaceae	31977	86.68	0.13699999999999998	13
Xanthomonadaceae	32033	81.31	0.128	526
Pasteurellaceae	712	79.6	0.126	28
