Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Micrococcales	85006	19014.530000000002	29.997	116923
Bacillales	1385	13009.04	20.523	76378
Corynebacteriales	85007	9498.399999999998	14.984000000000002	198197
Propionibacteriales	85009	8108.0599999999995	12.791000000000002	6627
Rhodospirillales	204441	6806.51	10.737	120592
Pseudonocardiales	85010	2455.45	3.8739999999999997	8257
Pseudomonadales	72274	1189.8799999999999	1.876	7700
Lactobacillales	186826	737.58	1.163	202
Rhodobacterales	204455	480.12	0.757	14254
Tissierellales	1737405	384	0.606	1349
Bacteroidales	171549	372.82	0.588	7978
Burkholderiales	80840	276.71000000000004	0.43700000000000006	443
Neisseriales	206351	260.85	0.41100000000000003	491
Actinomycetales	2037	227.32	0.358	6669
Enterobacterales	91347	202.96	0.32	24
Alteromonadales	135622	117.79	0.186	176
Veillonellales	1843489	86.68	0.13699999999999998	13
Xanthomonadales	135614	81.31	0.128	526
Pasteurellales	135625	79.6	0.126	28
