Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Cutibacterium	1912216	525721.05	48.09900000000001	27509
Propionibacterium	1743	485412.34	44.411	386
Staphylococcus	1279	73751.69	6.746999999999999	50105
Corynebacterium	1716	3180.39	0.29100000000000004	36095
Rothia	32207	1475.34	0.135	12242
Streptococcus	1301	669.0799999999999	0.061000000000000006	371
Actinomyces	1654	446.18	0.04100000000000001	2781
Caulobacter	75	420.88	0.039	6816
Gardnerella	2701	343.95	0.031	635
Neisseriaceae_u_g	481	318.6	0.029	49
Turicella	144193	302.16	0.027999999999999997	5507
Lactobacillus	1578	259.98	0.023	62
Alloiococcus	1651	141.24	0.013	2165
Propionibacteriaceae_u_g	31957	123.9	0.011000000000000001	354
Granulicatella	117563	119.26	0.011000000000000001	20
Finegoldia	150022	110.35	0.01	72
Anaerococcus	165779	102.96	0.009000000000000001	56
Haemophilus	724	90.13	0.008	172
