Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Propionibacteriales	85009	1011257.2900000002	92.52100000000002	28249
Bacillales	1385	73751.69	6.746999999999999	50105
Corynebacteriales	85007	3482.5499999999997	0.31900000000000006	41602
Micrococcales	85006	1475.34	0.135	12242
Lactobacillales	186826	1189.56	0.10800000000000001	2618
Actinomycetales	2037	446.18	0.04100000000000001	2781
Caulobacterales	204458	420.88	0.039	6816
Bifidobacteriales	85004	343.95	0.031	635
Neisseriales	206351	318.6	0.029	49
Tissierellales	1737405	213.31	0.019000000000000003	128
Pasteurellales	135625	90.13	0.008	172
