Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Acinetobacter	469	9495.179999999998	22.223000000000003	52380
Corynebacterium	1716	8610.710000000001	20.153000000000002	40178
Staphylococcus	1279	5463.05	12.786999999999999	14113
Micrococcus	1269	4816.75	11.273	5820
Cutibacterium	1912216	3691.18	8.639	10
Propionibacteriaceae_u_g	31957	3279.2	7.674	311
Enhydrobacter	212791	1390.22	3.254	15857
Lactobacillus	1578	880.06	2.059	2992
Kocuria	57493	870.87	2.0380000000000003	5262
Microbacterium	33882	636.62	1.49	2959
Paenibacillus	44249	549.44	1.286	4988
Paracoccus	265	366.28	0.858	6026
Aeromonas	642	361.39	0.8460000000000001	24
Streptococcus	1301	356.57	0.835	12
Rothia	32207	342.03	0.8	2019
Finegoldia	150022	263.57	0.617	232
Aerococcus	1375	182.26	0.42700000000000005	391
Escherichia	561	170.08	0.398	19
Brachybacterium	43668	151.98	0.356	3226
Veillonella	29465	140.65	0.329	20
Porphyromonas	836	133.48	0.312	2794
Serratia	613	131.69	0.308	3081
Actinomyces	1654	106.41	0.249	2510
Neisseria	482	95.38	0.22300000000000003	70
Stenotrophomonas	40323	87.98	0.20600000000000002	99
Pseudomonas	286	79.44	0.186	841
Brevundimonas	41275	76.49	0.179	35
