Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Staphylococcaceae	90964	83120.58	60.778999999999996	307829
Corynebacteriaceae	1653	18189.45	13.3	347690
Propionibacteriaceae	31957	13082.18	9.565000000000001	8813
Carnobacteriaceae	186828	6720.19	4.914000000000001	146388
Micrococcaceae	1268	5546.339999999999	4.057	18790
Moraxellaceae	468	2808.4300000000003	2.0530000000000004	3004
Streptococcaceae	1300	1524.73	1.116	5550
Neisseriaceae	481	1126.7399999999998	0.8240000000000001	1480
Actinomycetaceae	2049	1100.6799999999998	0.8049999999999999	7481
Enterobacteriaceae	543	772.25	0.565	884
Peptoniphilaceae	1570339	652.86	0.477	7554
Pasteurellaceae	712	325.64	0.238	854
Dietziaceae	85029	284.95	0.208	46
Microbacteriaceae	85023	261.73	0.191	1297
Dermabacteraceae	85020	225.82	0.165	4713
Rhizobiaceae	82115	180.57	0.132	66
Yersiniaceae	1903411	176.39	0.129	996
Pseudomonadaceae	135621	150.83	0.11	221
Caulobacteraceae	76892	138.99	0.10200000000000001	2449
Alcaligenaceae	506	135.06	0.099	260
Veillonellaceae	31977	118.43	0.087	15
Aerococcaceae	186827	116.25	0.08499999999999999	1771
