Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Staphylococcus	1279	83120.58	60.778999999999996	307829
Corynebacterium	1716	18189.45	13.3	347690
Cutibacterium	1912216	12061.42	8.819	1018
Dolosigranulum	29393	6720.19	4.914000000000001	146388
Micrococcus	1269	4552.15	3.329	5032
Acinetobacter	469	2808.4300000000003	2.0530000000000004	3004
Streptococcus	1301	1524.73	1.116	5550
Actinomyces	1654	1100.6799999999998	0.8049999999999999	7481
Propionibacterium	1743	1020.76	0.746	7795
Neisseria	482	846.7099999999999	0.619	147
Anaerococcus	165779	564.7	0.413	7476
Raoultella	160674	504.82	0.369	480
Rothia	32207	388.56	0.285	4517
Kocuria	57493	350.78	0.257	3479
Haemophilus	724	325.64	0.238	854
Dietzia	37914	284.95	0.208	46
Morococcus	212742	280.03	0.20500000000000002	1333
Klebsiella	570	267.43	0.196	404
Microbacterium	33882	261.73	0.191	1297
Nesterenkonia	57494	254.85	0.186	5762
Brachybacterium	43668	225.82	0.165	4713
Rhizobiaceae_u_g	82115	180.57	0.132	66
Serratia	613	176.39	0.129	996
Pseudomonas	286	150.83	0.11	221
Caulobacter	75	138.99	0.10200000000000001	2449
Bordetella	517	135.06	0.099	260
Veillonella	29465	118.43	0.087	15
Facklamia	66831	116.25	0.08499999999999999	1771
Finegoldia	150022	88.16	0.064	78
