Name	Tax ID	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus phage 11	12360	1761	11.022	0.099138	0.260144	114
Staphylococcus phage tp310-3	445517	1207.23	7.556	0.079532	0.139121	161
Staphylococcus phage tp310-1	445515	1157.26	7.242999999999999	0.029289	0.148342	14
Staphylococcus phage P954	668618	1084.28	6.787	0.080656	0.289037	409
Staphylococcus phage Ipla7	1197953	1071.29	6.705	0.162993	0.116258	2943
Staphylococcus phage StauST398-5	1308897	1047.65	6.557	0.20098	0.128959	365
Staphylococcus phage TEM123	1168613	1009.46	6.318	0.032677	0.270789	124
Staphylococcus phage phiBU01	1519999	963.05	6.0280000000000005	0.046584	0.280822	161
Staphylococcus phage 55	320845	832.38	5.21	0.014478	0.119736	44
Staphylococcus phage PT1028	320831	804.1	5.033	0.10388	0.10388	1321
Phietavirus	1623298	758.45	4.747	0.060418	0.163609	111
Staphylococcus phage phiETA2	326036	574.74	3.5970000000000004	0.023724	0.210201	54
Staphylococcus phage 69	320834	504.93	3.16	0.020824	0.203475	70
Staphylococcus phage StauST398-4	1308896	502.11	3.143	0.013978	0.278549	54
Staphylococcus phage phiPVL-CN125	648017	466.22	2.918	0.010274	0.068523	12
Staphylococcus phage phiMR25	487152	368.02	2.303	0.019766	0.167888	83
Staphylococcus phage PH15	399185	303.41	1.899	0.030846	0.045666	773
Staphylococcus phage SA12	1347760	294.86	1.846	0.010146	0.245247	27
Staphylococcus phage Ipla5	1197952	281.23	1.76	0.031633	0.045691	461
Staphylococcus phage CNPH82	398839	279.16	1.7469999999999999	0.03381	0.047286	651
Staphylococcus phage StB20	1147043	251.7	1.575	0.019216	0.033992	548
Staphylococcus phage tp310-2	445516	233.47	1.461	0.077565	0.03445	449
Merkel cell polyomavirus	493803	131.15	0.8210000000000001	0.028331	0.028799	74
Siphoviridae	10699	89.75	0.562	0.022034	0.022034	13
