Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Propionibacterium	1743	368247.75	46.926	1400
Cutibacterium	1912216	195063.03000000003	24.857	15024
Staphylococcus	1279	159500.52	20.326	17523
Corynebacterium	1716	60616.38	7.7250000000000005	1022338
Alloiococcus	1651	567.49	0.07200000000000001	8226
Caulobacter	75	231.19	0.029	4029
Anaerococcus	165779	185.89	0.024	103
Micrococcus	1269	152.09	0.019	21
Tannerella	195950	94.8	0.012	2751
Rothia	32207	85.31	0.011000000000000001	412
