Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Propionibacterium_u_t	1743	368247.75	46.926	1400
Propionibacterium acnes HL082PA2	765121	194371.2	24.769	5667
Staphylococcus epidermidis	1282	157227.57	20.036	12149
Corynebacterium sp. KPL1856_u_t	1203563	44084.07	5.618	493
Corynebacterium kroppenstedtii DSM 44385	645127	15240.46	1.942	1019788
Staphylococcus capitis QN1	1189311	1566.38	0.2	4608
Corynebacterium pseudogenitalium ATCC 33035	525264	922.51	0.11800000000000001	1482
Alloiococcus otitis ATCC 51267	883081	567.49	0.07200000000000001	8226
[Propionibacterium] namnetense SK182B-JCVI	1051006	421.95	0.054	7829
Corynebacterium accolens ATCC 49725	525260	369.34	0.047	575
Staphylococcus_u_t	1279	226.58	0.029	9
Caulobacter sp. JGI 0001013-D04_u_t	1157680	231.19	0.029	4029
Staphylococcus haemolyticus R1P1	1134914	205.71	0.026	100
Anaerococcus prevotii	33034	185.89	0.024	103
Staphylococcus sp. JGI 0001002-I23_u_t	1157683	181.18	0.023	576
Cutibacterium granulosum	33011	166.97	0.021	898
Micrococcus luteus	1270	152.09	0.019	21
[Propionibacterium] humerusii	1050843	102.91	0.013	630
Staphylococcus lugdunensis	28035	93.1	0.012	81
Tannerella sp. oral taxon BU063 isolate Cell 1/3	1411022	94.8	0.012	2751
Rothia mucilaginosa	43675	85.31	0.011000000000000001	412
