Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Staphylococcaceae	90964	875738.43	93.72600000000001	30473
Micrococcaceae	1268	17127.300000000003	1.832	84307
Propionibacteriaceae	31957	15159.439999999999	1.6219999999999999	22875
Microbacteriaceae	85023	6444.02	0.69	28302
Moraxellaceae	468	4226.509999999999	0.451	6629
Rhodospirillales_u_f	204441	2855.04	0.306	39058
Lactobacillaceae	33958	2733.23	0.29300000000000004	48
Corynebacteriaceae	1653	1749.8	0.189	23332
Paenibacillaceae	186822	1641.21	0.17600000000000002	27053
Streptococcaceae	1300	1116.2	0.119	6369
Hymenobacteraceae	1853232	1062.1	0.11399999999999999	26
Aerococcaceae	186827	849.25	0.091	8665
Pseudomonadaceae	135621	513.85	0.055	163
Neisseriaceae	481	495.56999999999994	0.053	377
Rhodobacteraceae	31989	440.15	0.047	10879
Pasteurellaceae	712	415.24	0.044	3087
Burkholderiaceae	119060	326.87	0.034999999999999996	9415
Bacillales_u_f	1385	267.27	0.029	3812
Actinomycetaceae	2049	270.64	0.029	4226
Carnobacteriaceae	186828	180.5	0.019	24
Bacillaceae	186817	155.61	0.017	317
Caulobacteraceae	76892	161.68	0.017	3798
Methylobacteriaceae	119045	117.28	0.013	39
Dermacoccaceae	145357	116.52	0.012	1958
Rhizobiales_u_f	356	112.25	0.012	1250
Listeriaceae	186820	91.21	0.01	302
