Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus aureus GI 33390919		-	1109764.05	27.752	0.904523	0.938312	109126
Staphylococcus aureus GI 33390948		-	508042.29	12.705	0.729282	0.831034	32975
Staphylococcus aureus GI 33390920		-	414220.39	10.358	1	1	35113
Staphylococcus aureus GENE dfrA		-	291311.26	7.285	0.935622	0.935622	36274
Staphylococcus aureus GENE thyA		-	213985.15	5.351	1	1	56366
Staphylococcus epidermidis GeneID SEA1545		-	196222.71	4.907	1	1	24040
Staphylococcus aureus GENE cap 1562 Branch		-	38118.55	0.9530000000000001	0.870015	0.870015	4253
Staphylococcus aureus GENE cap 1572 Branch		-	36850.17	0.922	0.954751	0.916074	2210
Staphylococcus aureus GENE cap 1548 Branch		-	33170.01	0.8290000000000001	0.836066	0.836066	5655
Staphylococcus aureus GENE cap 1575 Branch		-	30726.8	0.768	0.93513	0.93513	5742
Staphylococcus aureus GENE fnb 1642 Branch		-	30116.57	0.753	0.87156	0.87156	1061
Staphylococcus aureus GENE set 1584 Branch		-	28700.78	0.718	1	0.8487	54
Staphylococcus aureus GENE sdr 1606 Branch		-	28662.81	0.717	0.54902	0.698514	2333
Staphylococcus aureus GeneID SAS0122		-	28685.16	0.717	1	1	3847
Staphylococcus aureus GeneID SASa2550		-	26774	0.67	1	1	10220
Staphylococcus aureus GENE 1626 Branch		-	26129.79	0.653	0.50935	0.50935	5854
Staphylococcus aureus GENE cap 1543 Branch		-	25626.84	0.641	0.713287	0.833333	2369
Staphylococcus aureus GENE cap 1629 Branch		-	25361.25	0.634	0.935976	0.935976	2915
Staphylococcus aureus GeneID SAS0111		-	25342.67	0.634	1	1	4958
Staphylococcus aureus GeneID SAS0117		-	24582.55	0.615	1	1	6474
Staphylococcus aureus GeneID SASa0120		-	24170.17	0.604	0.993711	0.993711	8840
Staphylococcus aureus GeneID SAS0121		-	24045.51	0.601	0.975425	0.975425	6260
Staphylococcus aureus GENE blaZ		-	23778.81	0.5950000000000001	0.587473	0.587473	6239
Staphylococcus aureus GeneID SAS0119		-	22539.17	0.5640000000000001	1	1	7657
Staphylococcus aureus GeneID SAS0115		-	22452.49	0.561	1	1	4918
Staphylococcus aureus GeneID SASa0118		-	21285.5	0.532	0.977424	0.977424	7271
Staphylococcus aureus GENE 1484 Branch		-	20425.84	0.511	0.875	0.875	37
Staphylococcus aureus GeneID SASa0122		-	18973.36	0.47400000000000003	1	1	3243
Staphylococcus aureus GENE spl 1500 Branch		-	18812.14	0.47000000000000003	0.794931	0.798186	2414
Staphylococcus aureus GENE cap 1506 Branch		-	17619.7	0.441	0.900327	0.900327	4986
Staphylococcus aureus GeneID SASa0649		-	17386.61	0.43499999999999994	0.960334	0.960334	3890
Staphylococcus aureus GENE blaR1		-	16675.36	0.41700000000000004	0.662934	0.662934	7202
Staphylococcus aureus GENE cap 1491 Branch		-	16176.62	0.40499999999999997	0.882445	0.882445	4062
Staphylococcus aureus GENE blaI		-	14357.58	0.359	0.650794	0.650794	1665
Staphylococcus aureus GeneID SASa0115		-	14263.94	0.357	1	1	2558
