Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Bacillales	1385	146182.54	85.104	161062
Corynebacteriales	85007	13712.509999999998	7.982000000000001	141273
Propionibacteriales	85009	5059.98	2.9459999999999997	2387
Actinomycetales	2037	2647.3300000000004	1.5419999999999998	37240
Neisseriales	206351	854.76	0.498	7015
Veillonellales	1843489	844.38	0.49100000000000005	778
Lactobacillales	186826	736.24	0.429	5372
Micrococcales	85006	536.9300000000001	0.31300000000000006	1934
Bacteroidales	171549	381.06	0.222	455
Burkholderiales	80840	356.84	0.208	7726
Flavobacteriales	200644	320.49	0.186	4509
Selenomonadales	909929	137.23	0.08	1121
