Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Enterococcus faecium GI 21886745		-	19276.46	35.349000000000004	1	1	259
Staphylococcus aureus GI 33390919		-	9951.23	18.249000000000002	0.668342	0.785714	1035
Staphylococcus lentus GENE repC		-	5404.11	9.91	0.735499	0.735499	623
Salmonella Typhimurium GI 46019645		-	4758.24	8.726	0.530435	0.530435	669
Proteus mirabilis GENE tnpA		-	3218.88	5.903	1	1	20
Staphylococcus lentus GENE pre		-	2984.33	5.473	0.470588	0.470588	348
Staphylococcus aureus GI 33390942		-	2927.03	5.367999999999999	0.573171	0.573171	94
Staphylococcus aureus G 1466 Branch		-	2379.35	4.363	0.571429	0.571429	40
Klebsiella pneumoniae GENE blaMOX-2		-	2309.77	4.236	0.462766	0.462766	110
Enterococcus hirae GENE ermB		-	1321.76	2.424	1	1	3
