Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Propionibacteriaceae_u_t	31957	1236025.43	70.06700000000001	2324
Propionibacterium acnes HL110PA4	765080	481363.11	27.287	2194
Staphylococcus epidermidis NIHLM039	979209	27161.71	1.54	9811
Micrococcus luteus	1270	9754.53	0.553	24290
Staphylococcus capitis	29388	3598.08	0.20400000000000001	3282
[Propionibacterium] namnetense SK182B-JCVI	1051006	2808.08	0.159	68640
Corynebacterium pseudogenitalium ATCC 33035	525264	980.45	0.055999999999999994	9881
Corynebacterium tuberculostearicum SK141	553206	909.42	0.052	6923
Staphylococcus sp. TE8_u_t	1472720	423.27	0.024	1131
[Propionibacterium] humerusii	1050843	285.96	0.016	107
Caulobacter sp. JGI 0001013-D04_u_t	1157680	175.27	0.01	3076
Staphylococcus_u_t	1279	125.53	0.006999999999999999	95
Acinetobacter_u_t	469	124.11	0.006999999999999999	88
Pseudomonas putida	303	129.71	0.006999999999999999	254
Corynebacterium jeikeium	38289	104.07	0.006	43
Staphylococcus lugdunensis	28035	83.08	0.005	73
