Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Staphylococcaceae	90964	152681.37	50.70199999999999	34827
Corynebacteriaceae	1653	51726.95	17.176999999999996	162734
Pasteurellaceae	712	29687.260000000002	9.857999999999999	1012488
Propionibacteriaceae	31957	20292.190000000002	6.7379999999999995	180435
Peptoniphilaceae	1570339	15150.19	5.031000000000001	182465
Prevotellaceae	171552	10066.44	3.343	42496
Streptococcaceae	1300	7168.61	2.3810000000000002	119
Fusobacteriaceae	203492	6681.29	2.2190000000000003	30640
Enterococcaceae	81852	3478.28	1.155	632
Peptostreptococcaceae	186804	2117.69	0.7030000000000001	13640
Veillonellaceae	31977	1406.74	0.46699999999999997	5016
Dermabacteraceae	85020	498.11	0.166	5891
Campylobacteraceae	72294	100.06	0.033	96
Micrococcaceae	1268	82.57	0.027	10
