Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus aureus GENE 1602 Branch		-	10158.23	7.531000000000001	0.533333	0.5	69
Staphylococcus aureus GENE cap 1548 Branch		-	9961.92	7.385999999999999	0.529061	0.529061	572
Staphylococcus aureus GENE cap 1491 Branch		-	7749.67	5.7459999999999996	0.454545	0.454545	519
Staphylococcus aureus GENE cap 1541 Branch		-	7272.29	5.392	0.5	0.5	122
Staphylococcus aureus GENE cap 1575 Branch		-	6711.46	4.976	0.428144	0.428144	702
Staphylococcus aureus GENE cap 1461 Branch		-	6413.5	4.755	0.40388	0.40388	409
Staphylococcus aureus GENE fnb 1642 Branch		-	6172.26	4.5760000000000005	0.614679	0.614679	150
Staphylococcus aureus GI 33390965		-	6133.49	4.547	0.745914	0.745914	1094
Staphylococcus aureus GI 33390919		-	5269.62	3.907	0.768844	0.733766	281
Staphylococcus aureus GI 33390966		-	5077.64	3.765	0.669492	0.669492	566
Staphylococcus aureus GeneID SAS0122		-	4896.87	3.6310000000000002	0.708861	0.708861	371
Staphylococcus aureus GeneID SAS0121		-	4718.23	3.4979999999999998	0.565217	0.565217	811
Staphylococcus aureus GeneID SAS0115		-	4585.32	3.4000000000000004	0.599548	0.599548	618
Staphylococcus aureus GENE esxB		-	3833.13	2.842	0.57874	0.57874	311
Staphylococcus aureus GENE cap 1508 Branch		-	3779.35	2.802	0.402985	0.461255	160
Staphylococcus aureus GeneID SAS0117		-	3674.06	2.724	0.512059	0.512059	541
Staphylococcus aureus G 1466 Branch		-	3391.83	2.5149999999999997	0.442857	0.442857	73
Staphylococcus aureus GeneID SASa0120		-	3323.59	2.464	0.415094	0.415094	788
Staphylococcus aureus GI 33390964		-	3268.65	2.423	0.449495	0.449495	282
Staphylococcus aureus GeneID SASa2550		-	3242.17	2.404	0.443223	0.443223	665
Staphylococcus aureus GeneID SASa0649		-	3238.78	2.401	0.524008	0.524008	331
Staphylococcus aureus GI 33390939		-	3103.29	2.3009999999999997	0.738095	0.738095	49
Staphylococcus aureus GeneID SASa0122		-	3067.88	2.275	0.466472	0.466472	320
Staphylococcus aureus GeneID SAS0119		-	2963.73	2.197	0.436828	0.436828	504
Staphylococcus aureus GeneID SASa1133		-	2805.02	2.08	0.451247	0.451247	305
Staphylococcus aureus GeneID SASa0115		-	2792.67	2.07	0.459658	0.459658	277
Staphylococcus aureus GeneID SASa0648		-	2612.17	1.9369999999999998	0.426439	0.426439	292
Staphylococcus aureus GENE esxA		-	2352.36	1.744	0.484277	0.484277	97
Staphylococcus aureus GI 33390974		-	2310.32	1.7129999999999999	0.440945	0.440945	108
