Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Staphylococcus capitis	29388	30721.95	70.897	19720
Staphylococcus aureus	1280	3365.42	7.766000000000001	2835
Staphylococcus epidermidis	1282	2699.71	6.23	476
Micrococcus luteus	1270	2366.65	5.462	1916
Aerococcus viridans	1377	676.17	1.5599999999999998	6122
Pseudomonas sp. 1-7	633150	594.2	1.371	10410
Corynebacterium pseudogenitalium	38303	567.37	1.309	4056
Corynebacterium tuberculostearicum	38304	543.1	1.253	3115
Acinetobacter sp. MDS7A	1209355	190.53	0.44	2302
Cutibacterium granulosum	33011	190.43	0.439	1053
Finegoldia magna	1260	178.25	0.411	123
Porphyromonas_u_s	836	171.47	0.396	15
Propionibacteriaceae_u_s	31957	144.23	0.333	41
Acinetobacter_u_s	469	133.54	0.308	215
Staphylococcus_u_s	1279	126.49	0.292	1556
Actinomyces neuii	33007	124.75	0.28800000000000003	46
Staphylococcus warneri	1292	109.86	0.254	639
Jeotgalicoccus_u_s	227979	92.72	0.214	76
Aeromonas_u_s	642	90.62	0.209	9
Acinetobacter towneri	202956	85.03	0.196	1685
Staphylococcus massiliensis	555791	81.13	0.187	1063
Staphylococcus lugdunensis	28035	79.64	0.184	689
