Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Staphylococcus capitis	29388	57236.4	31.663999999999998	125216
Micrococcus luteus	1270	19732.74	10.915999999999999	97444
Corynebacterium genitalium	38288	16473.77	9.113	725246
Staphylococcus epidermidis	1282	14178.85	7.843999999999999	305
Staphylococcus sp. TE8	1472720	12908.12	7.141	42764
Propionibacterium_u_s	1743	12792.62	7.077	28
Cutibacterium acnes	1747	12243.41	6.773	69
Corynebacterium pseudogenitalium	38303	3291.65	1.821	29817
Pseudonocardia sp. P2	882856	3190.56	1.765	15399
Corynebacterium tuberculostearicum	38304	3032.33	1.678	20857
Acinetobacter lwoffii	28090	2584.43	1.43	2600
Acinetobacter sp. CIP 101966	1144662	2278.46	1.26	1406
Staphylococcus hominis	1290	1989.43	1.101	1302
Corynebacterium tuscaniense	302449	1962.54	1.086	47802
Kocuria palustris	71999	1512.68	0.8370000000000001	9727
Microbacterium sp. KROCY2	1305732	1445.18	0.799	6434
Acinetobacter idrijaensis	1507807	1369.08	0.757	1311
Pseudomonas putida	303	800.72	0.443	887
Dermacoccus sp. Ellin185	188626	673.59	0.373	8479
Corynebacterium jeddahense	1414719	669.68	0.37	40474
Dolosigranulum pigrum	29394	662.35	0.366	11278
Enhydrobacter aerosaccus	225324	574.58	0.318	7301
Staphylococcus haemolyticus	1283	503.95	0.27899999999999997	197
Dermacoccus nishinomiyaensis	1274	486.04	0.269	6039
Corynebacterium jeikeium	38289	484.96	0.268	6019
Exiguobacterium_u_s	33986	414.92	0.22999999999999998	4863
Bacteroides neonati	1347393	389.59	0.216	11253
Staphylococcus warneri	1292	376.76	0.208	37
Lactobacillus_u_s	1578	324.82	0.18	23
Pseudoglutamicibacter albus	98671	279.76	0.155	7314
Corynebacterium ihumii	1232427	280.87	0.155	12737
Acinetobacter baumannii	470	280.14	0.155	44
Rothia dentocariosa	2047	269.63	0.149	3781
Veillonella_u_s	29465	239.63	0.133	38
Paracoccus sp. PAMC 22219	1569209	236.86	0.131	7140
[Propionibacterium] namnetense	1574624	228.59	0.126	4637
Corynebacterium ureicelerivorans	401472	223.51	0.124	9421
Brevibacterium ravenspurgense	479117	221.98	0.123	7134
Actinomyces oris	544580	222.07	0.123	3607
Shewanella baltica	62322	214.82	0.11900000000000001	175
Staphylococcus lugdunensis	28035	209.41	0.116	113
Propionibacterium sp. KPL1844	1203573	199.57	0.11	1584
Pseudomonas sp. 1-7	633150	176.24	0.097	3776
Staphylococcus_u_s	1279	170.95	0.095	1772
Staphylococcus aureus	1280	170.21	0.094	98
Acinetobacter towneri	202956	170.31	0.094	24
Kocuria rhizophila	72000	159.82	0.08800000000000001	2203
Corynebacterium minutissimum	38301	158.7	0.08800000000000001	4012
Finegoldia magna	1260	144.21	0.08	37
Corynebacterium striatum	43770	138.33	0.077	4274
Cutibacterium granulosum	33011	137.03	0.076	953
Corynebacterium glucuronolyticum	39791	117.21	0.065	760
Staphylococcus cohnii	29382	112.09	0.062	312
Bacillus_u_s	1386	111.19	0.062	12
Anaerococcus_u_s	165779	112.83	0.062	50
Granulicatella_u_s	117563	106.35	0.059000000000000004	21
Dermabacter_u_s	36739	107.55	0.059000000000000004	1060
Psychrobacter_u_s	497	102.3	0.056999999999999995	16
Herbaspirillum_u_s	963	98.34	0.054	76
Massilia timonae	47229	98.08	0.054	3014
Acinetobacter_u_s	469	96.01	0.053	413
Rothia aeria	172042	89.54	0.05	526
Staphylococcus caprae	29380	84.42	0.047	2502
Pseudomonas stutzeri	316	84.59	0.047	503
Staphylococcus massiliensis	555791	83.6	0.046	1154
Paenibacillus sophorae	1333845	82.41	0.046	2712
Clostridiales_u_s	186802	82.13	0.045	10
Acinetobacter junii	40215	78.1	0.043	21
