Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Staphylococcus capitis	29388	57236.4	31.663999999999998	125216
Micrococcus luteus	1270	19732.74	10.915999999999999	97444
Corynebacterium genitalium ATCC 33030	585529	16473.77	9.113	725246
Staphylococcus epidermidis	1282	14178.85	7.843999999999999	305
Staphylococcus sp. TE8_u_t	1472720	12908.12	7.141	42764
Propionibacterium_u_t	1743	12792.62	7.077	28
Propionibacterium acnes J139	679194	12243.41	6.773	69
Corynebacterium pseudogenitalium ATCC 33035	525264	3291.65	1.821	29817
Pseudonocardia sp. P2_u_t	882856	3190.56	1.765	15399
Corynebacterium tuberculostearicum SK141	553206	3032.33	1.678	20857
Acinetobacter lwoffii SH145	575588	2584.43	1.43	2600
Acinetobacter sp. CIP 101966_u_t	1144662	2278.46	1.26	1406
Staphylococcus hominis VCU122	904339	1989.43	1.101	1302
Corynebacterium tuscaniense DNF00037	1401064	1962.54	1.086	47802
Kocuria palustris PEL	1236550	1512.68	0.8370000000000001	9727
Microbacterium sp. KROCY2_u_t	1305732	1445.18	0.799	6434
Acinetobacter idrijaensis	1507807	1369.08	0.757	1311
Pseudomonas putida LS46	1193146	800.72	0.443	887
Dermacoccus sp. Ellin185_u_t	188626	673.59	0.373	8479
Corynebacterium jeddahense	1414719	669.68	0.37	40474
Dolosigranulum pigrum ATCC 51524	883103	662.35	0.366	11278
Enhydrobacter aerosaccus SK60	553217	574.58	0.318	7301
Staphylococcus haemolyticus R1P1	1134914	503.95	0.27899999999999997	197
Dermacoccus nishinomiyaensis	1274	486.04	0.269	6039
Corynebacterium jeikeium	38289	484.96	0.268	6019
Exiguobacterium_u_t	33986	414.92	0.22999999999999998	4863
Bacteroides neonati	1347393	389.59	0.216	11253
Staphylococcus warneri	1292	376.76	0.208	37
Lactobacillus_u_t	1578	324.82	0.18	23
Pseudoglutamicibacter albus DNF00011	1401063	279.76	0.155	7314
Corynebacterium ihumii	1232427	280.87	0.155	12737
Acinetobacter baumannii	470	280.14	0.155	44
Rothia dentocariosa M567	563032	269.63	0.149	3781
Veillonella_u_t	29465	239.63	0.133	38
Paracoccus sp. PAMC 22219_u_t	1569209	236.86	0.131	7140
[Propionibacterium] namnetense SK182B-JCVI	1051006	228.59	0.126	4637
Corynebacterium ureicelerivorans	401472	223.51	0.124	9421
Brevibacterium ravenspurgense 5401308 = CCUG 53855	1176165	221.98	0.123	7134
Actinomyces oris K20	871541	222.07	0.123	3607
Shewanella baltica	62322	214.82	0.11900000000000001	175
Staphylococcus lugdunensis	28035	209.41	0.116	113
Propionibacterium sp. KPL1844_u_t	1203573	199.57	0.11	1584
Pseudomonas sp. 1-7_u_t	633150	176.24	0.097	3776
Staphylococcus_u_t	1279	170.95	0.095	1772
Staphylococcus aureus	1280	170.21	0.094	98
Acinetobacter towneri DSM 14962 = CIP 107472	1120929	170.31	0.094	24
Kocuria rhizophila	72000	159.82	0.08800000000000001	2203
Corynebacterium minutissimum	38301	158.7	0.08800000000000001	4012
Finegoldia magna	1260	144.21	0.08	37
Corynebacterium striatum ATCC 6940	525268	138.33	0.077	4274
Cutibacterium granulosum	33011	137.03	0.076	953
Corynebacterium glucuronolyticum ATCC 51867	548477	117.21	0.065	760
Staphylococcus cohnii hu-01	1415164	112.09	0.062	312
Bacillus_u_t	1386	111.19	0.062	12
Anaerococcus_u_t	165779	112.83	0.062	50
Granulicatella_u_t	117563	106.35	0.059000000000000004	21
Dermabacter_u_t	36739	107.55	0.059000000000000004	1060
Psychrobacter_u_t	497	102.3	0.056999999999999995	16
Herbaspirillum_u_t	963	98.34	0.054	76
Massilia timonae CCUG 45783	883126	98.08	0.054	3014
Acinetobacter_u_t	469	96.01	0.053	413
Rothia aeria	172042	89.54	0.05	526
Staphylococcus caprae M23864:W1	525378	84.42	0.047	2502
Pseudomonas stutzeri	316	84.59	0.047	503
Staphylococcus massiliensis	555791	83.6	0.046	1154
Paenibacillus sophorae S27	682957	82.41	0.046	2712
Clostridiales_u_t	186802	82.13	0.045	10
Acinetobacter junii	40215	78.1	0.043	21
