Name	Accession ID	Class	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Staphylococcus aureus GI 33390919		-	527498.79	63.291	0.969849	0.980519	58844
Staphylococcus aureus GENE blaZ		-	61966.33	7.435	0.721382	0.721382	15816
Staphylococcus aureus GENE blaI		-	55690.32	6.682	0.751323	0.751323	6474
Staphylococcus aureus GENE blaR1		-	43757.22	5.25	0.584546	0.584546	20525
Proteus mirabilis GENE tnpA		-	18926.15	2.271	1	1	329
Staphylococcus lentus GENE repL		-	16001.79	1.92	1	1	1795
Staphylococcus aureus GENE qacC		-	15669.14	1.8800000000000001	1	1	1278
Escherichia coli GENE aphA7		-	15339.53	1.8399999999999999	0.95	0.95	2391
Staphylococcus aureus GENE thyA		-	11398	1.3679999999999999	0.948473	0.948473	2293
Staphylococcus lentus GENE ermC		-	10609.54	1.273	0.957958	0.957958	1434
Staphylococcus aureus GI 33390920		-	8992.97	1.079	0.936306	0.936306	644
Klebsiella pneumoniae GENE tnpA		-	7812.58	0.9369999999999999	0.914692	0.914692	634
Staphylococcus aureus GENE dfrA		-	7157.43	0.859	0.7897	0.7897	684
Staphylococcus lentus GENE repC		-	5794.41	0.695	0.693735	0.693735	812
Staphylococcus epidermidis GeneID SEA1545		-	5793.27	0.695	0.806306	0.806306	422
Staphylococcus aureus GI 33390939		-	3842.98	0.461	0.714286	0.714286	85
Staphylococcus aureus GI 33390947		-	3777.65	0.453	0.645161	0.645161	79
Staphylococcus aureus GI 33390940		-	3596.8	0.432	0.496454	0.496454	473
Staphylococcus lentus GI 60416745		-	3468.45	0.416	1	1	24
Klebsiella pneumoniae GI 42543951		-	2726.24	0.327	1	1	13
Pseudomonas aeruginosa GENE intI1		-	2530.68	0.304	0.58	0.58	53
Staphylococcus aureus GI 33390941		-	1099.04	0.132	0.454545	0.454545	10
