Name	Tax ID	Abundance Score	Relative Abundance	% Unique Matches	% Total Matches	Unique Matches Frequency
Human polyomavirus 6	746830	61904.32	80.7	0.88297	0.88297	66578
Human immunodeficiency virus 1	11676	3371.62	4.3950000000000005	0.05576	0.05576	3621
Staphylococcus phage StB20	1147043	1928.46	2.514	0.161945	0.158618	10287
Equine infectious anemia virus	11665	1329.09	1.733	0.018813	0.018813	3678
Propionibacterium phage P14.4	1229784	565.94	0.738	0.019728	0.074104	194
Propionibacterium phage PA6	376758	489.61	0.638	0.02003	0.072965	120
Propionibacterium phage P100D	1229789	462.59	0.603	0.017405	0.071086	80
Propionibacterium phage P101A	1229786	441.43	0.575	0.025433	0.071992	138
Propionibacterium phage P105	1229788	436.31	0.569	0.020507	0.06546	145
Propionibacterium phage PHL071N05	1235650	421.57	0.5499999999999999	0.011279	0.064009	63
Propionibacterium phage PHL111M01	1235653	419.45	0.547	0.019515	0.066317	131
Propionibacterium phage P1.1	1229792	401.86	0.524	0.018619	0.062968	84
Propionibacterium phage PHL113M01	1235655	393.86	0.513	0.017339	0.059687	89
Propionibacterium phage PHL060L00	1235647	392.85	0.512	0.018712	0.066113	87
Propionibacterium phage P104A	1229787	387.9	0.506	0.019494	0.056766	131
Propionibacterium phage PHL112N00	1235654	369.54	0.482	0.021792	0.05543	120
Propionibacterium phage P100_1	1229791	349.3	0.455	0.027244	0.057593	131
Propionibacterium phage P9.1	1229782	301.27	0.393	0.015589	0.050522	76
Staphylococcus phage StB12	1147042	278.96	0.364	0.033556	0.037131	1302
Propionibacterium phage PHL067M10	1235649	274.81	0.358	0.014315	0.044695	72
Staphylococcus phage Ipla5	1197952	264.29	0.345	0.036476	0.027341	1745
Propionibacterium phage ATCC29399B_C	1229794	254.91	0.332	0.020484	0.040295	45
Staphylococcus phage Ipla7	1197953	210.07	0.27399999999999997	0.034231	0.025881	997
Pa6virus	1982251	180.1	0.23500000000000001	0.031063	0.031063	34
Propionibacterium phage PHL114L00	1235656	172.74	0.22499999999999998	0.011053	0.026563	132
Staphylococcus phage PH15	399185	168.94	0.22	0.022337	0.024462	615
Siphoviridae	10699	165.26	0.215	0.045045	0.045045	10
Staphylococcus phage StB27	1147044	149.29	0.19499999999999998	0.018176	0.023655	834
Moloney murine leukemia virus	11801	138.27	0.18	0.01795	0.027602	51
Staphylococcus phage CNPH82	398839	84.3	0.11	0.014993	0.017367	222
