Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Propionibacteriaceae	31957	41643.26	50.495000000000005	773
Micrococcaceae	1268	10353.089999999998	12.555	220623
Corynebacteriaceae	1653	6182.45	7.497000000000001	61653
Staphylococcaceae	90964	5861.02	7.108	5884
Prevotellaceae	171552	2430.9	2.9490000000000003	27127
Rhodospirillales_u_f	204441	2309.67	2.801	22738
Peptoniphilaceae	1570339	2275.5699999999997	2.7600000000000002	15560
Actinomycetaceae	2049	2228.0200000000004	2.702	19931
Streptococcaceae	1300	1369.1799999999998	1.66	3116
Paenibacillaceae	186822	1343.29	1.629	16817
Clostridiales_u_f	186802	1216.97	1.476	14006
Lactobacillaceae	33958	936.5	1.1360000000000001	3601
Tissierellia_u_f	1737404	788.97	0.9570000000000001	9135
Veillonellaceae	31977	760.78	0.9229999999999999	34
Porphyromonadaceae	171551	660.15	0.801	10804
Dermacoccaceae	145357	630.39	0.764	12236
Moraxellaceae	468	265.55	0.322	800
Ruminococcaceae	541000	256.40999999999997	0.311	81
Aerococcaceae	186827	186.21	0.22599999999999998	920
Bacteroidaceae	815	185.76	0.22499999999999998	11
Clostridiales Family XIII. Incertae Sedis	543314	141.19	0.17099999999999999	1756
Carnobacteriaceae	186828	137.82	0.167	12
Bacillales_u_f	1385	109.34	0.133	23
Campylobacteraceae	72294	105.03	0.127	1172
Neisseriaceae	481	90.9	0.11	24
