Name	Tax ID	Abundance Score	Relative Abundance	Unique Matches Frequency
Staphylococcus	1279	6954.79	43.635	2563
Cutibacterium	1912216	3734.5299999999997	23.431	939
Propionibacterium	1743	3221.16	20.21	136
Brevibacterium	1696	399.98	2.5090000000000003	9067
Peptoniphilus	162289	300.14	1.883	2713
Rothia	32207	277.52	1.741	1513
Kocuria	57493	227.53000000000003	1.427	1966
Enhydrobacter	212791	184.83	1.16	1889
Propionibacteriaceae_u_g	31957	150.44	0.9440000000000001	46
Klebsiella	570	143.94	0.903	396
Anaerococcus	165779	141.94	0.8909999999999999	700
Micrococcus	1269	106.3	0.6669999999999999	34
Finegoldia	150022	95.54	0.599	209
