Enzyme ID	Name	Copies per Million (CPM)	Relative Abundance
2.7.13.3	Histidine kinase	23718.5	2.3718501062209354
2.7.7.7	DNA-directed DNA polymerase	11735.7	1.1735700525571613
3.6.3.17	Transferred entry 7.5.2.8	10726.3	1.072630048036664
3.6.4.12	DNA helicase	10639.6	1.0639600476483868
5.2.1.8	Peptidylprolyl isomerase	9772.73	0.977273043766196
3.2.1.86	6-phospho-beta-glucosidase	8904.04	0.8904040398758546
2.4.1.1	Glycogen phosphorylase	8697	0.8697000389486466
1.6.5.11	NADH dehydrogenase (quinone)	8242.91	0.8242910369150498
2.2.1.6	Acetolactate synthase	7105.43	0.7105430318209591
4.1.1.49	Phosphoenolpyruvate carboxykinase (ATP)	5872.17	0.5872170262979273
1.17.1.9	Formate dehydrogenase	5199.81	0.5199810232868302
2.7.1.69	2.7.1.208	4992.59	0.4992590223588161
1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase	4690.69	0.46906902100678705
2.7.7.6	DNA-directed RNA polymerase	4627.47	0.46274702072366264
1.7.99.4	Nitrate reductase	4434.99	0.4434990198616601
1.11.1.15	Peroxiredoxin	4270.65	0.4270650191256798
3.1.11.5	Exodeoxyribonuclease V	4094.33	0.40943301833604834
3.6.3.14	Transferred entry 7.1.2.2	3879.54	0.3879540173741327
4.2.3.4	3-dehydroquinate synthase	3748.94	0.37489401678925366
2.7.7.65	Diguanylate cyclase	3576.5	0.35765001601699836
1.4.1.13	Glutamate synthase (NADPH)	3536.65	0.3536650158385341
2.4.1.25	4-alpha-glucanotransferase	3511.69	0.35116901572675324
2.4.1.129	Peptidoglycan glycosyltransferase	3508.43	0.3508430157121536
6.1.1.2	Tryptophan--tRNA ligase	3465.93	0.34659301552182165
2.2.1.1	Transketolase	3407.74	0.3407740152612235
1.17.4.1	Ribonucleoside-diphosphate reductase	3385.04	0.3385040151595638
2.7.1.71	Shikimate kinase	3179.07	0.31790701423714773
5.99.1.3	Transferred entry 5.6.2.2	3152.08	0.3152080141162757
3.6.4.13	RNA helicase	3125.57	0.31255701399755337
1.1.5.3	Glycerol-3-phosphate dehydrogenase	3118.87	0.31188701396754803
3.2.1.23	Beta-galactosidase	3100.14	0.3100140138836676
2.8.1.1	Thiosulfate sulfurtransferase	3027.9	0.30279001356014795
3.5.1.28	N-acetylmuramoyl-L-alanine amidase	2995.18	0.2995180134136147
1.7.1.4	Nitrite reductase (NAD(P)H)	2959.33	0.29593301325306404
5.1.3.1	Ribulose-phosphate 3-epimerase	2947.68	0.2947680132008907
2.2.1.2	Transaldolase	2900.91	0.2900910129914359
2.1.1.13	Methionine synthase	2837.35	0.2837350127067888
4.2.1.3	Aconitate hydratase	2806.2	0.28062001256728664
3.1.3.5	5'-nucleotidase	2720.16	0.2720160121819651
1.6.5.5	NADPH:quinone reductase	2686.91	0.26869101203305823
2.4.1.12	Cellulose synthase (UDP-forming)	2685.82	0.2685820120281769
6.5.1.2	DNA ligase (NAD(+))	2637.09	0.26370901180994444
3.1.4.52	Cyclic-guanylate-specific phosphodiesterase	2624.86	0.2624860117551736
3.4.16.4	Serine-type D-Ala-D-Ala carboxypeptidase	2575.76	0.25757601153528414
5.3.1.5	Xylose isomerase	2574.96	0.25749601153170143
