GO ID	GO Category	GO Description	Copies per Million (CPM)	Relative Abundance
GO:0016021	Cellular_Components	integral component of membrane	77824.9	7.8116002669730955
GO:0005524	Molecular_Functions	ATP binding	39991.8	4.014138862455778
GO:0003677	Molecular_Functions	DNA binding	30663	3.0777694412224887
GO:0005737	Cellular_Components	cytoplasm	24872.9	2.496593664500631
GO:0016020	Cellular_Components	membrane	22292.4	2.2375784330139976
GO:0005886	Cellular_Components	plasma membrane	16275.8	1.6336679343654885
GO:0016787	Molecular_Functions	hydrolase activity	13666.8	1.371792042503979
GO:0022857	Molecular_Functions	transmembrane transporter activity	11933.1	1.1977735550680653
GO:0016491	Molecular_Functions	oxidoreductase activity	11856.4	1.1900748655679587
GO:0055085	Biological_Processes	transmembrane transport	11711.5	1.1755306659777964
GO:0003700	Molecular_Functions	DNA-binding transcription factor activity	11597.2	1.164057912263818
GO:0016740	Molecular_Functions	transferase activity	11271.6	1.1313761221564558
GO:0046872	Molecular_Functions	metal ion binding	11245.4	1.1287463220925342
GO:0005975	Biological_Processes	carbohydrate metabolic process	9824.64	0.9861388893132474
GO:0006355	Biological_Processes	regulation of transcription, DNA-templated	9762.88	0.9799397880938658
GO:0016887	Molecular_Functions	ATPase activity	6583.65	0.6608276027037288
GO:0009401	Biological_Processes	phosphoenolpyruvate-dependent sugar phosphotransferase system	5947.38	0.5969626070292471
GO:0016829	Molecular_Functions	lyase activity	5899.75	0.5921817911115148
GO:0003723	Molecular_Functions	RNA binding	5612.71	0.5633704243043367
GO:0016301	Molecular_Functions	kinase activity	5547.83	0.5568581560544421
GO:0008270	Molecular_Functions	zinc ion binding	5252.11	0.5271755425085296
GO:0043565	Molecular_Functions	sequence-specific DNA binding	4934.89	0.4953348869254296
GO:0006412	Biological_Processes	translation	4916.17	0.49345588474235275
GO:0000287	Molecular_Functions	magnesium ion binding	4869.67	0.48878849149913306
GO:0003824	Molecular_Functions	catalytic activity	4694.16	0.47117184229230524
GO:0005840	Cellular_Components	ribosome	4638.82	0.4656171424626326
GO:0003676	Molecular_Functions	nucleic acid binding	4633.44	0.4650771300830945
GO:0003735	Molecular_Functions	structural constituent of ribosome	4587.05	0.46042077798518144
GO:0030170	Molecular_Functions	pyridoxal phosphate binding	4264.78	0.4280732334584628
GO:0000160	Biological_Processes	phosphorelay signal transduction system	4188.47	0.4204136898371705
GO:0009058	Biological_Processes	biosynthetic process	4073.32	0.4088556181821866
GO:0008233	Molecular_Functions	peptidase activity	3972.24	0.3987098093859576
GO:0051539	Molecular_Functions	4 iron, 4 sulfur cluster binding	3956.06	0.3970857572854136
GO:0005887	Cellular_Components	integral component of plasma membrane	3945.18	0.39599368764054843
GO:0009055	Molecular_Functions	electron transfer activity	3914.1	0.39287406222120935
GO:0005525	Molecular_Functions	GTP binding	3619.96	0.36335003967151813
GO:0042597	Cellular_Components	periplasmic space	3597.64	0.36110969091477263
GO:0006281	Biological_Processes	DNA repair	3592.76	0.3606198655593552
GO:0008168	Molecular_Functions	methyltransferase activity	3572.28	0.3585642050513737
GO:0004673	Molecular_Functions	protein histidine kinase activity	3517.05	0.35302054636700764
GO:0015074	Biological_Processes	DNA integration	3451.77	0.3464681284978166
GO:0051301	Biological_Processes	cell division	3326.92	0.3339364285748923
GO:0050660	Molecular_Functions	flavin adenine dinucleotide binding	3187.26	0.31991818899751456
GO:0030288	Cellular_Components	outer membrane-bounded periplasmic space	3157.52	0.31693306480281874
GO:0005215	Molecular_Functions	transporter activity	3135.6	0.31473286566536984
GO:0006260	Biological_Processes	DNA replication	3115.66	0.3127314071434386
GO:0006313	Biological_Processes	transposition, DNA-mediated	3074.67	0.3086170749060284
GO:0019867	Cellular_Components	outer membrane	3033.34	0.30446861549221615
GO:0005829	Cellular_Components	cytosol	2942.58	0.2953586668738372
GO:0008982	Molecular_Functions	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity	2941.88	0.29528840504006837
GO:0051536	Molecular_Functions	iron-sulfur cluster binding	2885.24	0.289603218947682
GO:0016874	Molecular_Functions	ligase activity	2837.2	0.2847812496701707
GO:0043190	Cellular_Components	ATP-binding cassette (ABC) transporter complex	2803.98	0.2814468237875953
GO:0007155	Biological_Processes	cell adhesion	2800.36	0.28108346973296183
GO:0004386	Molecular_Functions	helicase activity	2767.52	0.27778718598871804
GO:0051287	Molecular_Functions	NAD binding	2727.13	0.2737330781802526
GO:0004803	Molecular_Functions	transposase activity	2713.55	0.272369998605136
GO:0016746	Molecular_Functions	transferase activity, transferring acyl groups	2680.49	0.2690516325702791
GO:0006310	Biological_Processes	DNA recombination	2673.57	0.26835704415644945
GO:0016853	Molecular_Functions	isomerase activity	2605.12	0.2614864405543335
GO:0009279	Cellular_Components	cell outer membrane	2523.41	0.2532848770725382
GO:0003887	Molecular_Functions	DNA-directed DNA polymerase activity	2462.64	0.2471851461609154
GO:0009297	Biological_Processes	pilus assembly	2410.76	0.24197774053815765
GO:0009289	Cellular_Components	pilus	2398.12	0.24070901256838775
GO:0015473	Molecular_Functions	fimbrial usher porin activity	2387.52	0.23964504765703015
GO:0006099	Biological_Processes	tricarboxylic acid cycle	2365.93	0.23747797195550086
GO:0071555	Biological_Processes	cell wall organization	2299.28	0.23078804164021932
GO:0000155	Molecular_Functions	phosphorelay sensor kinase activity	2258.99	0.2267439712365779
GO:0020037	Molecular_Functions	heme binding	2212.35	0.22206252562660447
GO:0005623	Cellular_Components	cell	2207.99	0.22162489477627242
GO:0015293	Molecular_Functions	symporter activity	2142.34	0.2150353385092322
GO:0009306	Biological_Processes	protein secretion	2141.12	0.2149128821703778
GO:0005506	Molecular_Functions	iron ion binding	2035.99	0.20436055847877166
GO:0050661	Molecular_Functions	NADP binding	2013.8	0.20213325834829754
GO:0032196	Biological_Processes	transposition	1911.78	0.19189309794672174
GO:0006520	Biological_Processes	cellular amino acid metabolic process	1791.47	0.1798170962028129
GO:0030976	Molecular_Functions	thiamine pyrophosphate binding	1760.61	0.17671955307408685
GO:0004252	Molecular_Functions	serine-type endopeptidase activity	1757.71	0.17642846833418716
GO:0019843	Molecular_Functions	rRNA binding	1709.17	0.17155631203255522
GO:0010181	Molecular_Functions	FMN binding	1687.66	0.16939726625488521
GO:0006865	Biological_Processes	amino acid transport	1661.72	0.1667935634435063
GO:0006096	Biological_Processes	glycolytic process	1647.68	0.1653843118061987
GO:0000166	Molecular_Functions	nucleotide binding	1627.57	0.16336578969606647
GO:0008643	Biological_Processes	carbohydrate transport	1616.66	0.16227070882975406
GO:0016757	Molecular_Functions	transferase activity, transferring glycosyl groups	1555.7	0.1561519068489654
GO:0006265	Biological_Processes	DNA topological change	1544.41	0.1550186838443213
GO:0004177	Molecular_Functions	aminopeptidase activity	1543.05	0.15488217513871314
GO:0071973	Biological_Processes	bacterial-type flagellum-dependent cell motility	1531.15	0.15368772396464186
GO:0008134	Molecular_Functions	transcription factor binding	1524.55	0.15302525524624938
GO:0006396	Biological_Processes	RNA processing	1523.27	0.15289677646450056
GO:0030246	Molecular_Functions	carbohydrate binding	1502.9	0.1508521571018256
GO:0004222	Molecular_Functions	metalloendopeptidase activity	1496.49	0.15020875945259896
GO:0004519	Molecular_Functions	endonuclease activity	1495.3	0.15008931433519182
GO:0045454	Biological_Processes	cell redox homeostasis	1489.94	0.14955130943661857
GO:0006457	Biological_Processes	protein folding	1488.87	0.14944390920500036
GO:0003924	Molecular_Functions	GTPase activity	1454.68	0.1460121204956309
GO:0003746	Molecular_Functions	translation elongation factor activity	1435.07	0.1440437854096193
GO:0008152	Biological_Processes	metabolic process	1430.22	0.1435569712756491
GO:0003755	Molecular_Functions	peptidyl-prolyl cis-trans isomerase activity	1426.74	0.14320766958776943
GO:0006351	Biological_Processes	transcription, DNA-templated	1397.91	0.1403138857769732
GO:0000049	Molecular_Functions	tRNA binding	1395.63	0.1400850329469831
GO:0004527	Molecular_Functions	exonuclease activity	1391.81	0.13970160408270138
GO:0030145	Molecular_Functions	manganese ion binding	1389.28	0.1394476577406509
GO:0006418	Biological_Processes	tRNA aminoacylation for protein translation	1384.57	0.13897489597343446
GO:0008237	Molecular_Functions	metallopeptidase activity	1354.96	0.13600282040501005
GO:0006807	Biological_Processes	nitrogen compound metabolic process	1335.3	0.1340294666165864
GO:0008483	Molecular_Functions	transaminase activity	1325.14	0.13300966628645497
GO:0006094	Biological_Processes	gluconeogenesis	1309.01	0.13139063288832306
GO:0042626	Molecular_Functions	ATPase-coupled transmembrane transporter activity	1300.76	0.13056254699033248
GO:0097367	Molecular_Functions	carbohydrate derivative binding	1285.86	0.12906697367153733
GO:0071949	Molecular_Functions	FAD binding	1262.1	0.12668208628532443
GO:0050662	Molecular_Functions	coenzyme binding	1250.87	0.12555488572357482
GO:0015407	Molecular_Functions	ATPase-coupled monosaccharide transmembrane transporter activity	1197.7	0.12021799757858576
GO:0003899	Molecular_Functions	DNA-directed 5'-3' RNA polymerase activity	1182.16	0.1186581848689162
GO:0051537	Molecular_Functions	2 iron, 2 sulfur cluster binding	1169.33	0.11737038582998051
