Pfam ID	Name	Copies per Million (CPM)	Relative Abundance
PF00005	ABC transporter	16694.7	1.6694699759846738
PF07690	Major Facilitator Superfamily	9211.83	0.9211829867487822
PF03466	LysR substrate binding domain	7394.9	0.7394899893624362
PF00528	Binding-protein-dependent transport system inner membrane component	7070.87	0.7070869898285533
PF00126	Bacterial regulatory helix-turn-helix protein, lysR family	6254.8	0.6254799910024701
PF00072	Response regulator receiver domain	5076.64	0.5076639926972533
PF00873	AcrB/AcrD/AcrF family	4070.64	0.4070639941443842
PF02518	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	3945.45	0.39454499432447004
PF00577	Outer membrane usher protein	3917.68	0.39176799436441717
PF12833	Helix-turn-helix domain	3450.21	0.34502099503687284
PF00419	Fimbrial protein	3307.44	0.33074399524224746
PF00324	Amino acid permease	3236.53	0.3236529953442515
PF00294	pfkB family carbohydrate kinase	3231.87	0.3231869953509549
PF00155	Aminotransferase class I and II	3189.98	0.3189979954112137
PF00384	Molybdopterin oxidoreductase	3156.65	0.3156649954591589
PF07992	Pyridine nucleotide-disulphide oxidoreductase	3132.59	0.31325899549376923
PF00860	Permease family	3110.62	0.31106199552537306
PF00392	Bacterial regulatory proteins, gntR family	3093.99	0.3093989955492953
PF00171	Aldehyde dehydrogenase family	3083.83	0.30838299556391047
PF00563	EAL domain	3083.55	0.3083549955643133
PF00501	AMP-binding enzyme	3047.78	0.3047779956157684
PF01032	FecCD transport family	2958.47	0.2958469957442408
PF02653	Branched-chain amino acid transport system / permease component	2914.99	0.2914989958067868
PF00248	Aldo/keto reductase family	2914.36	0.2914359958076931
PF00593	TonB dependent receptor	2722.66	0.2722659960834535
PF00196	Bacterial regulatory proteins, luxR family	2693.65	0.2693649961251844
PF00486	Transcriptional regulatory protein, C terminal	2623.5	0.2623499962260952
PF00665	Integrase core domain	2593.36	0.2593359962694516
PF00512	His Kinase A (phospho-acceptor) domain	2513.1	0.2513099963849056
PF00345	Pili and flagellar-assembly chaperone, PapD N-terminal domain	2512.12	0.2512119963863153
PF00884	Sulfatase	2470.69	0.2470689964459124
PF00497	Bacterial extracellular solute-binding proteins, family 3	2451.8	0.24517999647308567
PF00158	Sigma-54 interaction domain	2383.81	0.23838099657088924
PF00271	Helicase conserved C-terminal domain	2374.85	0.23748499658377822
PF00696	Amino acid kinase family	2358.34	0.23583399660752785
PF00455	DeoR C terminal sensor domain	2349.98	0.2349979966195537
PF00083	Sugar (and other) transporter	2327.3	0.2327299966521789
PF00106	short chain dehydrogenase	2300.38	0.23003799669090333
PF00496	Bacterial extracellular solute-binding proteins, family 5 Middle	2291.6	0.22915999670353335
PF00589	Phage integrase family	2213.81	0.22138099681543424
PF02378	Phosphotransferase system, EIIC	2186.24	0.2186239968550937
PF00132	Bacterial transferase hexapeptide (six repeats)	2175.25	0.21752499687090282
PF04055	Radical SAM superfamily	2149.35	0.21493499690815998
PF00990	Diguanylate cyclase, GGDEF domain	2115.82	0.21158199695639288
PF01527	Transposase	2112.93	0.21129299696055012
PF13520	Amino acid permease	2067.14	0.20671399702641904
PF00107	Zinc-binding dehydrogenase	2039.95	0.20399499706553187
PF00293	NUDIX domain	2023.21	0.20232099708961238
PF08240	Alcohol dehydrogenase GroES-like domain	2022.74	0.20227399709028845
PF03797	Autotransporter beta-domain	2006.54	0.20065399711359216
PF07715	TonB-dependent Receptor Plug Domain	1967.95	0.1967949971691039
PF00892	EamA-like transporter family	1966.6	0.19665999717104585
PF01380	SIS domain	1936.86	0.19368599721382684
PF00356	Bacterial regulatory proteins, lacI family	1869.57	0.1869569973106235
PF13954	PapC N-terminal domain	1836.96	0.183695997357533
PF07729	FCD domain	1827.28	0.18272799737145767
PF13407	Periplasmic binding protein domain	1790.41	0.1790409974244952
PF01381	Helix-turn-helix	1787.38	0.17873799742885382
PF03279	Bacterial lipid A biosynthesis acyltransferase	1781.5	0.17814999743731222
PF00370	FGGY family of carbohydrate kinases, N-terminal domain	1746.59	0.17465899748753025
PF00270	DEAD/DEAH box helicase	1746.52	0.17465199748763094
PF01979	Amidohydrolase family	1707.01	0.17070099754446608
