CAZy ID	Copies per Million (CPM)	Relative Abundance
GT2	227977	22.797693160692052
GT28	171854	17.185394844381545
CBM50	117472	11.747196475841056
GT51	115082	11.508196547541036
GH73	100490	10.048996985300903
GT8	69144.3	6.914427925671622
GH13	43981	4.398098680570396
GT26	32133	3.213299036010289
GH65	28334.1	2.8334091499772547
GH32	28329.6	2.832959150112255
GH25	23782.6	2.378259286522214
GH1	14409.9	1.4409895677031297
GH4	14339.3	1.433929569821129
GH23	6023.25	0.6023248193025542
AA3	3389.51	0.3389508983147305
GT4	3258.74	0.3258739022378293
