ID	Name	Copies per Million (CPM)	Relative Abundance
PWY-8187	L-arginine degradation XIII (reductive Stickland reaction)	16321.8	1.6321793748752995
LACTOSECAT-PWY	lactose and galactose degradation I	14688.3	1.4688294374383255
PWY-1042	glycolysis IV	14551.7	1.4551694426701036
P41-PWY	pyruvate fermentation to acetate and (S)-lactate I	13922.3	1.3922294667761144
PWY-5100	pyruvate fermentation to acetate and lactate II	13922.3	1.3922294667761144
UDPNAGSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis I	13417	1.341699486129097
PWY-6151	S-adenosyl-L-methionine salvage I	13220.1	1.322009493670364
PWY-5686	UMP biosynthesis I	12830.7	1.2830695085843784
PWY-7790	UMP biosynthesis II	12830.7	1.2830695085843784
PWY-7791	UMP biosynthesis III	12830.7	1.2830695085843784
TRNA-CHARGING-PWY	tRNA charging	12460.5	1.2460495227630328
PWY-6386	UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	12382	1.2381995257695817
CALVIN-PWY	Calvin-Benson-Bassham cycle	11702.4	1.1702395517982518
PWY-6387	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	11695.3	1.1695295520701816
PWY-6385	peptidoglycan biosynthesis III (mycobacteria)	11502.8	1.1502795594429287
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)	11240.5	1.1240495694890151
PWY-7229	superpathway of adenosine nucleotides de novo biosynthesis I	10869.4	1.0869395837021396
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	10819.9	1.0819895855979886
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	10672.7	1.0672695912357466
PWY-7221	guanosine ribonucleotides de novo biosynthesis	10349.7	1.0349696036066418
PWY-7228	superpathway of guanosine nucleotides de novo biosynthesis I	10321.2	1.0321196046981915
COA-PWY-1	superpathway of coenzyme A biosynthesis III (mammals)	10311.2	1.0311196050811913
COA-PWY	coenzyme A biosynthesis I (prokaryotic)	10044.9	1.0044896152804774
PWY-6126	superpathway of adenosine nucleotides de novo biosynthesis II	10001.8	1.0001796169312067
PWY-7851	coenzyme A biosynthesis II (eukaryotic)	9928.24	0.9928236197485537
PWY0-162	superpathway of pyrimidine ribonucleotides de novo biosynthesis	9898.33	0.9898326208941063
PWY-5265	peptidoglycan biosynthesis II (staphylococci)	9826.42	0.9826416236482582
PWY-6125	superpathway of guanosine nucleotides de novo biosynthesis II	9599.65	0.9599646323335459
PANTOSYN-PWY	superpathway of coenzyme A biosynthesis I (bacteria)	9386.62	0.9386616404925918
PWY-7220	adenosine deoxyribonucleotides de novo biosynthesis II	9368.26	0.9368256411957795
PWY-7222	guanosine deoxyribonucleotides de novo biosynthesis II	9368.26	0.9368256411957795
VALSYN-PWY	L-valine biosynthesis	9261.37	0.9261366452896651
PWY-5484	glycolysis II (from fructose 6-phosphate)	9148.01	0.9148006496313513
PANTO-PWY	phosphopantothenate biosynthesis I	8975.4	0.8975396562423117
SO4ASSIM-PWY	assimilatory sulfate reduction I	8867.15	0.8867146603882851
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	8862.11	0.8862106605813171
PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis	8862.11	0.8862106605813171
